Pos,No,Driver,Car,Laps,Time/retired,Pts
1,99,Lee WallardWAL,Kurtis Kraft Offenhauser,200,3:57:38.050,9
2,83,Mike NazarukNAZ,Kurtis Kraft Offenhauser,200,+107.243s,6
3,9,Manny AyuloAYU,Kurtis Kraft Offenhauser,200,,2
3,9,Jack McGrathMCG,Kurtis Kraft Offenhauser,,SHC,2
4,57,Andy LindenLIN,Sherman Offenhauser,200,,3
5,52,Bobby BallBAL,Schroeder Offenhauser,200,,2
6,1,Henry BanksBAN,Moore Offenhauser,200,,0
7,68,Carl ForbergFOR,Kurtis Kraft Offenhauser,193,+7 laps,0
8,27,Duane CarterCAR,Deidt Offenhauser,180,+20 laps,0
9,5,Tony  BettenhausenBET,Deidt Offenhauser,178,DNF,0
10,18,Duke NalonNAL,Kurtis Kraft Novi,151,DNF,0
11,69,Gene ForceFOR,Kurtis Kraft Offenhauser,142,DNF,0
12,25,Sam HanksHAN,Kurtis Kraft Offenhauser,135,DNF,0
13,10,Bill SchindlerSCH,Kurtis Kraft Offenhauser,129,DNF,0
14,16,Mauri  RoseROS,Deidt Offenhauser,126,DNF,0
15,2,Walt  FaulknerFAU,Kuzma Offenhauser,123,DNF,0
16,76,Jimmy DaviesDAV,Pawl Offenhauser,110,DNF,0
17,59,Fred AgabashianAGA,Kurtis Kraft Offenhauser,109,DNF,0
18,73,Carl ScarboroughSCA,Kurtis Kraft Offenhauser,100,DNF,0
19,71,Bill  MackeyMAC,Hall Offenhauser,97,DNF,0
20,8,Chuck  StevensonSTE,Marchese Offenhauser,93,DNF,0
21,3,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,87,DNF,0
22,4,Cecil  GreenGRE,Kurtis Kraft Offenhauser,80,DNF,0
23,98,Troy RuttmanRUT,Kurtis Kraft Offenhauser,78,DNF,0
24,6,Duke DinsmoreDIN,Schroeder Offenhauser,73,DNF,0
25,32,Chet  MillerMIL,Kurtis Kraft Novi,56,DNF,0
26,44,Walt BrownBRO,Kurtis Kraft Offenhauser,55,DNF,0
27,48,Rodger WardWAR,Bromme Offenhauser,34,DNF,0
28,23,Cliff GriffithGRI,Kurtis Kraft Offenhauser,30,DNF,0
29,81,Bill  Vukovich VUK,Trevis Offenhauser,29,DNF,0
30,22,George ConnorCON,Lesovsky Offenhauser,29,DNF,0
31,19,Mack HellingsHEL,Deidt Offenhauser,18,DNF,0
32,12,Johnny McDowellMCD,Maserati-Offenhauser,15,DNF,0
33,26,Joe JamesJAM,Watson Offenhauser,8,DNF,0
