Pos,No,Driver,Car,Time
1,23,Jerry  HoytHOY,Stevens Offenhauser,4:17.060
2,10,Tony  BettenhausenBET,Kurtis Kraft Offenhauser,4:17.170
3,3,Jack McGrathMCG,Kurtis Kraft Offenhauser,4:12.490
4,14,Fred AgabashianAGA,Kurtis Kraft Offenhauser,4:13.640
5,4,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,4:15.190
6,8,Sam HanksHAN,Kurtis Kraft Offenhauser,4:16.800
7,77,Walt  FaulknerFAU,Kurtis Kraft Offenhauser,4:17.580
8,19,Andy LindenLIN,Kurtis Kraft Offenhauser,4:18.810
9,22,Cal  NidayNID,Kurtis Kraft Offenhauser,4:16.590
10,15,Jimmy DaviesDAV,Kurtis Kraft Offenhauser,4:16.640
11,1,Jimmy BryanBRY,Kuzma Offenhauser,4:16.850
12,89,Pat FlahertyFLA,Kurtis Kraft Offenhauser,4:16.870
13,37,Eddie  RussoRUS,Pawl Offenhauser,4:16.930
14,6,Bob SweikertSWE,Kurtis Kraft Offenhauser,4:17.150
15,5,Jimmy ReeceREE,Pankratz Offenhauser,4:17.160
16,71,Al  HermanHER,Kurtis Kraft Offenhauser,4:17.490
17,48,Jimmy  DaywaltDAY,Kurtis Kraft Offenhauser,4:18.220
18,98,Duane CarterCAR,Kuzma Offenhauser,4:18.380
19,29,Pat  O'ConnorO'C,Kurtis Kraft Offenhauser,4:18.630
20,33,Jim RathmannRAT,Epperly Offenhauser,4:19.540
21,12,Don  FreelandFRE,Phillips Offenhauser,4:17.390
22,42,Al  KellerKEL,Kurtis Kraft Offenhauser,4:17.970
23,49,Ray  CrawfordCRA,Kurtis Kraft Offenhauser,4:18.610
24,99,Art CrossCRO,Kurtis Kraft Offenhauser,4:19.460
25,41,Chuck  WeyantWEY,Kurtis Kraft Offenhauser,4:20.750
26,39,Johnny  BoydBOY,Kurtis Kraft Offenhauser,4:22.810
27,16,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,4:23.140
28,31,Keith  AndrewsAND,Schroeder Offenhauser,4:24.610
29,68,Ed  ElisianELI,Kurtis Kraft Offenhauser,4:26.010
30,27,Rodger WardWAR,Kuzma Offenhauser,4:26.570
31,81,Shorty  TemplemanTEM,Trevis Offenhauser,4:26.640
32,83,Eddie JohnsonJOH,Trevis Offenhauser,4:27.760
33,44,Johnny ThomsonTHO,Kuzma Offenhauser,4:28.430
