Pos,No,Driver,Car,Laps,Time/retired,Pts
1,7,John SurteesSUR,Ferrari,15,2:13:06.800,9
2,3,Jim ClarkCLA,Lotus Climax,15,+77.500s,6
3,2,Richie GintherGIN,BRM,15,+164.900s,4
4,26,Gerhard MitterMIT,Porsche,15,+491.500s,3
5,20,Jim  Hall HAL,Lotus BRM,14,+1 lap,2
6,16,Jo BonnierBON,Cooper Climax,14,+1 lap,1
7,9,Jack BrabhamBRA,Brabham Climax,14,+1 lap,0
8,4,Trevor  Taylor TAY,Lotus Climax,14,+1 lap,0
9,18,Jo SiffertSIF,Lotus BRM,10,DNF,0
10,28,Bernard  Collomb COL,Lotus Climax,10,+5 laps,0
NC,17,Carel Godin de Beaufort DEB,Porsche,9,DNF,0
NC,6,Tony MaggsMAG,Cooper Climax,7,DNF,0
NC,10,Dan GurneyGUR,Brabham Climax,6,DNF,0
NC,22,Mario  de Araujo Cabral DEA,Cooper Climax,6,DNF,0
NC,24,Ian Burgess BUR,Scirocco BRM,5,DNF,0
NC,23,Tony  Settember SET,Scirocco BRM,5,DNF,0
NC,5,Bruce McLarenMCL,Cooper Climax,3,DNF,0
NC,21,Chris AmonAMO,Lola Climax,2,DNF,0
NC,1,Graham HillHIL,BRM,2,DNF,0
NC,8,Willy MairesseMAI,Ferrari,1,DNF,0
NC,14,Innes IrelandIRE,Lotus BRM,1,DNF,0
NC,15,Lorenzo BandiniBAN,BRM,0,DNF,0
