Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Graham HillHIL,BRM,110,2:16:38.000,9
2,7,John SurteesSUR,Ferrari,110,+30.500s,6
3,22,Jo SiffertSIF,Brabham BRM,109,+1 lap,4
4,4,Richie GintherGIN,BRM,107,+3 laps,3
5,17,Walt   HansgenHAN,Lotus Climax,107,+3 laps,2
6,12,Trevor  Taylor TAY,BRP BRM,106,+4 laps,1
7,2,Mike SpenceSPE,Lotus Climax,,SHC,0
7,2,Jim ClarkCLA,Lotus Climax,102,DNF,0
8,14,Mike HailwoodHAI,Lotus BRM,101,DNF,0
NC,6,Dan GurneyGUR,Brabham Climax,69,DNF,0
NC,23,Hap  Sharp SHA,Brabham BRM,65,+45 laps,0
NC,8,Lorenzo BandiniBAN,Ferrari,58,DNF,0
NC,1,Jim ClarkCLA,Lotus Climax,,SHC,0
NC,1,Mike SpenceSPE,Lotus Climax,54,DNF,0
NC,28,Ronnie BucknumBUC,Honda,50,DNF,0
NC,15,Chris AmonAMO,Lotus BRM,47,DNF,0
NC,16,Jo BonnierBON,Brabham Climax,37,DNF,0
NC,9,Bruce McLarenMCL,Cooper Climax,26,DNF,0
NC,5,Jack BrabhamBRA,Brabham Climax,14,DNF,0
NC,10,Phil HillHIL,Cooper Climax,4,DNF,0
NC,11,Innes IrelandIRE,BRP BRM,2,DNF,0
