Pos,No,Driver,Car,Time
1,1,Jim ClarkCLA,Lotus Climax,1:38.100
2,3,Graham HillHIL,BRM,1:38.300
3,6,Dan GurneyGUR,Brabham Ford,1:38.400
4,5,Jack BrabhamBRA,Brabham Ford,1:38.500
5,7,John SurteesSUR,Ferrari,1:38.700
6,9,Bruce McLarenMCL,Cooper Climax,1:39.600
7,19,Bob AndersonAND,Brabham Climax,1:39.800
8,8,Lorenzo BandiniBAN,Ferrari,1:40.200
9,16,Jo BonnierBON,Cooper Climax,1:40.200
10,11,Innes IrelandIRE,Lotus BRM,1:40.800
11,15,Chris AmonAMO,Lotus Climax,1:41.200
12,14,Mike HailwoodHAI,Lotus Climax,1:41.400
13,2,Mike SpenceSPE,Lotus Climax,1:41.400
14,4,Richie GintherGIN,BRM,1:41.600
15,10,Phil HillHIL,Cooper Climax,1:42.600
16,20,Jo SiffertSIF,Lotus BRM,1:42.800
17,23,Ian RabyRAB,Brabham BRM,1:42.800
18,12,Trevor  Taylor TAY,Lotus BRM,1:42.800
19,26,Frank GardnerGAR,Brabham Ford,1:43.000
20,22,John  Taylor TAY,Cooper Ford,1:43.200
21,18,Giancarlo BaghettiBAG,BRM,1:43.400
22,24,Peter   RevsonREV,Lotus BRM,1:43.400
23,17,Tony MaggsMAG,BRM,1:45.000
