Pos,No,Driver,Car,Time
1,16,Jack BrabhamBRA,Brabham Climax,1:28.100
2,18,Denny HulmeHUL,Brabham Climax,1:28.700
3,6,Jim ClarkCLA,Lotus Climax,1:28.700
4,10,Dan GurneyGUR,Eagle Climax,1:28.800
5,4,Mike  Parkes PAR,Ferrari,1:29.000
6,26,Jochen RindtRIN,Cooper Maserati,1:29.200
7,12,Graham HillHIL,BRM,1:29.700
8,14,Jackie StewartSTE,BRM,1:29.800
9,2,Lorenzo BandiniBAN,Ferrari,1:30.000
10,24,John SurteesSUR,Cooper Maserati,1:30.600
11,28,Jo SiffertSIF,Cooper Maserati,1:31.100
12,32,Mike SpenceSPE,Lotus BRM,1:31.400
13,30,Jo BonnierBON,Brabham Climax,1:31.700
14,34,Bob AndersonAND,Brabham Climax,1:32.000
15,8,Peter  Arundell ARU,Lotus Climax,1:32.000
16,36,Guy  Ligier LIG,Cooper Maserati,1:35.000
17,38,John  Taylor TAY,Brabham BRM,1:35.700
