Pos,No,Driver,Car,Time
1,1,Jim ClarkCLA,Lotus Climax,8:16.500
2,7,John SurteesSUR,Cooper Maserati,8:18.000
3,6,Jackie StewartSTE,BRM,8:18.800
4,11,Ludovico ScarfiottiSCA,Ferrari,8:20.200
5,3,Jack BrabhamBRA,Brabham Climax,8:20.800
6,9,Lorenzo BandiniBAN,Ferrari,8:21.100
7,10,Mike  Parkes PAR,Ferrari,8:21.700
8,12,Dan GurneyGUR,Eagle Climax,8:22.800
9,8,Jochen RindtRIN,Cooper Maserati,8:27.700
10,5,Graham HillHIL,BRM,8:28.600
11,14,Bob BondurantBON,BRM,8:33.000
12,17,Jo BonnierBON,Brabham Climax,8:35.200
13,15,Mike SpenceSPE,Lotus BRM,8:38.600
14,19,Bob AndersonAND,Brabham Climax,8:42.500
15,4,Denny HulmeHUL,Brabham Climax,8:49.300
16,27,Jacky IckxICK,Matra Cosworth,8:52.000
17,2,Peter  Arundell ARU,Lotus Climax,8:52.700
18,34,Jean-Pierre BeltoiseBEL,Matra Cosworth,9:00.400
19,33,Jo  Schlesser SCH,Matra Cosworth,9:01.500
20,31,Pedro RodriguezROD,Lotus Climax,9:03.000
21,25,Kurt  Ahrens AHR,Brabham Climax,9:04.700
22,28,Hans  HerrmannHER,Brabham Climax,9:05.700
23,32,Piers   CourageCOU,Lotus Climax,9:06.000
24,29,Alan  Rees REE,Brabham Climax,9:08.400
25,16,John  Taylor TAY,Brabham BRM,9:08.900
26,20,Chris  Lawrence LAW,Cooper Ferrari,9:10.900
27,26,Hubert  Hahne HAH,Matra Cosworth,9:17.000
