Pos,No,Driver,Car,Time
1,6,Jochen RindtRIN,Lotus Ford,1:39.230
2,27,Clay RegazzoniREG,Ferrari,1:39.700
3,12,Jacky IckxICK,Ferrari,1:39.860
4,1,Jackie StewartSTE,Tyrrell Ford,1:40.150
5,14,Ignazio  Giunti GIU,Ferrari,1:40.210
6,4,Chris AmonAMO,March Ford,1:40.600
7,19,Jean-Pierre BeltoiseBEL,Matra,1:40.810
8,10,Jack BrabhamBRA,Brabham Ford,1:40.810
9,2,Francois  Cevert CEV,Tyrrell Ford,1:40.890
10,7,John   MilesMIL,Lotus Ford,1:41.460
11,21,Denny HulmeHUL,McLaren Alfa Romeo,1:41.490
12,15,John SurteesSUR,McLaren Ford,1:41.490
13,20,Henri PescaroloPES,Matra,1:41.700
14,16,Jackie OliverOLI,BRM,1:41.730
15,22,Andrea de Adamich DEA,McLaren Alfa Romeo,1:41.820
16,8,Emerson FittipaldiFIT,Lotus Ford,1:41.860
17,11,Rolf StommelenSTO,Brabham Ford,1:42.090
18,5,Mario AndrettiAND,March Ford,1:42.280
19,26,Tim   SchenkenSCH,De Tomaso Ford,1:42.410
20,3,Jo SiffertSIF,March Ford,1:42.560
21,23,Peter  Gethin GET,McLaren Alfa Romeo,1:42.790
22,17,Pedro RodriguezROD,BRM,1:43.190
23,18,George EatonEAT,BRM,1:45.000
24,24,Silvio  Moser MOS,Bellasi Ford,1:45.640
