Pos,No,Driver,Car,Time
1,11,Jackie StewartSTE,Tyrrell Ford,1:23.200
2,4,Jacky IckxICK,Ferrari,1:24.400
3,14,Jo SiffertSIF,BRM,1:24.800
4,20,Chris AmonAMO,Matra,1:24.800
5,15,Pedro RodriguezROD,BRM,1:25.100
6,9,Denny HulmeHUL,McLaren Ford,1:25.300
7,21,Jean-Pierre BeltoiseBEL,Matra,1:25.600
8,17,Ronnie PetersonPET,March Alfa Romeo,1:25.800
9,7,Graham HillHIL,Brabham Ford,1:26.000
10,22,John SurteesSUR,Surtees Ford,1:26.000
11,3,Clay RegazzoniREG,Ferrari,1:26.100
12,2,Reine   WisellWIS,Lotus Pratt & Whitney,1:26.700
13,27,Henri PescaroloPES,March Ford,1:26.700
14,10,Peter  Gethin GET,McLaren Ford,1:26.900
15,12,Francois  Cevert CEV,Tyrrell Ford,1:27.200
16,24,Rolf StommelenSTO,Surtees Ford,1:27.200
17,1,Emerson FittipaldiFIT,Lotus Pratt & Whitney,1:27.700
18,8,Tim   SchenkenSCH,Brabham Ford,1:28.300
