Pos,No,Driver,Car,Time
1,32,Clay RegazzoniREG,BRM,1:10.540
2,2,Emerson FittipaldiFIT,Lotus Ford,1:10.840
3,18,Jacky IckxICK,Ferrari,1:11.010
4,6,Jackie StewartSTE,Tyrrell Ford,1:11.030
5,4,Ronnie PetersonPET,Lotus Ford,1:11.060
6,8,Francois  Cevert CEV,Tyrrell Ford,1:11.460
7,30,Jean-Pierre BeltoiseBEL,BRM,1:11.480
8,14,Denny HulmeHUL,McLaren Ford,1:11.700
9,10,Carlos ReutemannREU,Brabham Ford,1:12.080
10,26,Mike HailwoodHAI,Surtees Ford,1:12.130
11,16,Peter   RevsonREV,McLaren Ford,1:12.220
12,12,Wilson FittipaldiFIT,Brabham Ford,1:12.310
13,34,Niki LaudaLAU,BRM,1:12.390
14,20,Arturo MerzarioMER,Ferrari,1:12.540
15,28,Carlos PacePAC,Surtees Ford,1:12.800
16,36,Nanni  Galli GAL,Iso Marlboro Ford,1:13.970
17,24,Jean-Pierre JarierJAR,March Ford,1:14.270
18,22,Mike  Beuttler BEU,March Ford,1:15.150
19,38,Howden  Ganley GAN,Iso Marlboro Ford,1:15.290
