Pos,No,Driver,Car,Time
1,11,James HuntHUN,McLaren Ford,1:43.622
2,3,Jody ScheckterSCH,Tyrrell Ford,1:43.870
3,10,Ronnie PetersonPET,March Ford,1:43.941
4,9,Vittorio BrambillaBRA,March Ford,1:44.250
5,1,Niki LaudaLAU,Ferrari,1:44.257
6,34,Hans-Joachim StuckSTU,March Ford,1:44.265
7,4,Patrick DepaillerDEP,Tyrrell Ford,1:44.516
8,28,John WatsonWAT,Penske Ford,1:44.719
9,16,Tom PrycePRY,Shadow Ford,1:45.102
10,8,Carlos PacePAC,Brabham Alfa Romeo,1:45.274
11,5,Mario AndrettiAND,Lotus Ford,1:45.311
12,26,Jacques LaffiteLAF,Ligier Matra,1:45.324
13,7,Larry PerkinsPER,Brabham Alfa Romeo,1:45.363
14,2,Clay RegazzoniREG,Ferrari,1:45.534
15,30,Emerson FittipaldiFIT,Fittipaldi Ford,1:45.646
16,17,Jean-Pierre JarierJAR,Shadow Ford,1:45.979
17,12,Jochen MassMAS,McLaren Ford,1:46.067
18,19,Alan  JonesJON,Surtees Ford,1:46.402
19,22,Jacky IckxICK,Ensign Ford,1:46.605
20,6,Gunnar NilssonNIL,Lotus Ford,1:46.776
21,24,Harald ErtlERT,Hesketh Ford,1:49.418
22,25,Alex RibeiroRIB,Hesketh Ford,1:49.669
23,21,Warwick BrownBRO,Wolf-Williams,1:51.124
24,18,Brett LungerLUN,Surtees Ford,1:51.373
25,20,Arturo MerzarioMER,Wolf-Williams,2:00.932
26,38,Henri PescaroloPES,Surtees Ford,2:05.211
