Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:12.210
2,1,James HuntHUN,McLaren Ford,1:12.730
3,6,Gunnar NilssonNIL,Lotus Ford,1:12.790
4,7,John WatsonWAT,Brabham Alfa Romeo,1:12.830
5,26,Jacques LaffiteLAF,Ligier Matra,1:13.300
6,12,Carlos ReutemannREU,Ferrari,1:13.360
7,2,Jochen MassMAS,McLaren Ford,1:13.410
8,20,Jody ScheckterSCH,Wolf Ford,1:13.450
9,11,Niki LaudaLAU,Ferrari,1:13.520
10,17,Alan  JonesJON,Shadow Ford,1:13.560
11,19,Vittorio BrambillaBRA,Surtees Ford,1:13.610
12,4,Patrick DepaillerDEP,Tyrrell Ford,1:13.660
13,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:13.670
14,24,Rupert KeeganKEE,Hesketh Ford,1:13.710
15,16,Riccardo PatresePAT,Shadow Ford,1:13.870
16,22,Clay RegazzoniREG,Ensign Ford,1:13.900
17,3,Ronnie PetersonPET,Tyrrell Ford,1:13.920
18,37,Arturo MerzarioMER,March Ford,1:13.920
19,34,Jean-Pierre JarierJAR,Penske Ford,1:14.170
20,10,Ian ScheckterSCH,March Ford,1:14.240
21,31,David PurleyPUR,LEC Ford,1:14.390
22,28,Emerson FittipaldiFIT,Fittipaldi Ford,1:14.450
