Pos,No,Driver,Car,Laps,Time/retired,Pts
1,27,Alan  JonesJON,Williams Ford,54,1:27:38.010,9
2,12,Gilles VilleneuveVIL,Ferrari,54,+36.050s,6
3,26,Jacques LaffiteLAF,Ligier Ford,54,+46.770s,4
4,11,Jody ScheckterSCH,Ferrari,54,+47.210s,3
5,28,Clay RegazzoniREG,Williams Ford,54,+48.920s,2
6,16,Rene ArnouxARN,Renault,53,+1 lap,1
7,3,Didier PironiPIR,Tyrrell Ford,53,+1 lap,0
8,4,Derek DalyDAL,Tyrrell Ford,53,+1 lap,0
9,7,John WatsonWAT,McLaren Ford,53,+1 lap,0
10,8,Patrick TambayTAM,McLaren Ford,53,+1 lap,0
NC,5,Niki LaudaLAU,Brabham Alfa Romeo,45,DNF,0
NC,22,Patrick GaillardGAI,Ensign Ford,42,DNF,0
NC,18,Elio de AngelisDEA,Shadow Ford,34,DNF,0
NC,29,Riccardo PatresePAT,Arrows Ford,34,DNF,0
NC,6,Nelson PiquetPIQ,Brabham Alfa Romeo,32,DNF,0
NC,9,Hans-Joachim StuckSTU,ATS Ford,28,DNF,0
NC,25,Jacky IckxICK,Ligier Ford,26,DNF,0
NC,2,Carlos ReutemannREU,Lotus Ford,22,DNF,0
NC,15,Jean-Pierre JabouilleJAB,Renault,16,DNF,0
NC,14,Emerson FittipaldiFIT,Fittipaldi Ford,15,DNF,0
NC,20,Keke RosbergROS,Wolf Ford,15,DNF,0
NC,17,Jan LammersLAM,Shadow Ford,3,DNF,0
NC,30,Jochen MassMAS,Arrows Ford,1,DNF,0
NC,1,Mario AndrettiAND,Lotus Ford,0,DNF,0
