Pos,No,Driver,Car,Time
1,26,Jacques LaffiteLAF,Ligier Ford,1:21.130
2,25,Patrick DepaillerDEP,Ligier Ford,1:21.200
3,6,Nelson PiquetPIQ,Brabham Ford,1:21.350
4,27,Alan  JonesJON,Williams Ford,1:21.590
5,1,Mario AndrettiAND,Lotus Ford,1:21.830
6,12,Gilles VilleneuveVIL,Ferrari,1:22.080
7,11,Jody ScheckterSCH,Ferrari,1:22.080
8,28,Clay RegazzoniREG,Williams Ford,1:22.400
9,20,James HuntHUN,Wolf Ford,1:22.550
10,2,Carlos ReutemannREU,Lotus Ford,1:22.560
11,4,Jean-Pierre JarierJAR,Tyrrell Ford,1:22.680
12,3,Didier PironiPIR,Tyrrell Ford,1:22.850
13,5,Niki LaudaLAU,Brabham Ford,1:22.870
14,35,Bruno GiacomelliGIA,Alfa Romeo,1:23.150
15,31,Hector RebaqueREB,Lotus Ford,1:23.630
16,29,Riccardo PatresePAT,Arrows Ford,1:23.920
17,15,Jean-Pierre JabouilleJAB,Renault,1:24.020
18,16,Rene ArnouxARN,Renault,1:24.330
19,7,John WatsonWAT,McLaren Ford,1:24.370
20,9,Hans-Joachim StuckSTU,ATS Ford,1:24.620
21,17,Jan LammersLAM,Shadow Ford,1:24.760
22,30,Jochen MassMAS,Arrows Ford,1:25.080
23,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:25.180
24,18,Elio de AngelisDEA,Shadow Ford,1:25.480
