Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Nelson PiquetPIQ,Brabham Ford,80,1:50:18.550,9
2,29,Riccardo PatresePAT,Arrows Ford,80,+49.210s,6
3,20,Emerson FittipaldiFIT,Fittipaldi Ford,80,+78.560s,4
4,7,John WatsonWAT,McLaren Ford,79,+1 lap,3
5,1,Jody ScheckterSCH,Ferrari,79,+1 lap,2
6,25,Didier PironiPIR,Ligier Ford,79,+1 lap,1
7,30,Jochen MassMAS,Arrows Ford,79,+1 lap,0
8,4,Derek DalyDAL,Tyrrell Ford,79,+1 lap,0
9,16,Rene ArnouxARN,Renault,78,+2 laps,0
10,15,Jean-Pierre JabouilleJAB,Renault,71,+9 laps,0
NC,21,Keke RosbergROS,Fittipaldi Ford,58,DNF,0
NC,14,Clay RegazzoniREG,Ensign Ford,50,DNF,0
NC,23,Bruno GiacomelliGIA,Alfa Romeo,49,DNF,0
NC,27,Alan  JonesJON,Williams Ford,47,DNF,0
NC,2,Gilles VilleneuveVIL,Ferrari,46,DNF,0
NC,22,Patrick DepaillerDEP,Alfa Romeo,40,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Ford,36,DNF,0
NC,31,Eddie  CheeverCHE,Osella Ford,11,DNF,0
NC,28,Carlos ReutemannREU,Williams Ford,3,DNF,0
NC,3,Jean-Pierre JarierJAR,Tyrrell Ford,3,DNF,0
NC,12,Elio de AngelisDEA,Lotus Ford,3,DNF,0
NC,6,Ricardo ZuninoZUN,Brabham Ford,0,DNF,0
NC,11,Mario AndrettiAND,Lotus Ford,0,DNF,0
NC,9,Jan LammersLAM,ATS Ford,0,DNF,0
