Pos,No,Driver,Car,Time
1,29,Riccardo PatresePAT,Arrows Ford,1:19.399
2,1,Alan  JonesJON,Williams Ford,1:19.400
3,2,Carlos ReutemannREU,Williams Ford,1:20.140
4,5,Nelson PiquetPIQ,Brabham Ford,1:20.280
5,27,Gilles VilleneuveVIL,Ferrari,1:20.460
6,22,Mario AndrettiAND,Alfa Romeo,1:20.470
7,12,Nigel MansellMAN,Lotus Ford,1:20.570
8,3,Eddie  CheeverCHE,Tyrrell Ford,1:20.640
9,23,Bruno GiacomelliGIA,Alfa Romeo,1:20.660
10,25,Jean-Pierre JarierJAR,Ligier Matra,1:20.780
11,28,Didier PironiPIR,Ferrari,1:20.900
12,26,Jacques LaffiteLAF,Ligier Matra,1:20.920
13,11,Elio de AngelisDEA,Lotus Ford,1:20.920
14,15,Alain ProstPRO,Renault,1:20.980
15,6,Hector RebaqueREB,Brabham Ford,1:21.000
16,20,Keke RosbergROS,Fittipaldi Ford,1:21.000
17,33,Patrick TambayTAM,Theodore Ford,1:21.290
18,21,Chico SerraSER,Fittipaldi Ford,1:21.400
19,14,Marc SurerSUR,Ensign Ford,1:21.520
20,16,Rene ArnouxARN,Renault,1:21.540
21,9,Jan LammersLAM,ATS Ford,1:21.750
22,8,Andrea de CesarisDEC,McLaren Ford,1:22.020
23,7,John WatsonWAT,McLaren Ford,1:22.180
24,32,Beppe GabbianiGAB,Osella Hart,1:22.210
