Pos,No,Driver,Car,Time
1,15,Alain ProstPRO,Renault,1:16.356
2,16,Rene ArnouxARN,Renault,1:16.786
3,3,Michele AlboretoALB,Tyrrell Ford,1:17.646
4,25,Eddie  CheeverCHE,Ligier Matra,1:17.683
5,2,Riccardo PatresePAT,Brabham Ford,1:17.772
6,6,Keke RosbergROS,Williams Ford,1:17.886
7,28,Mario AndrettiAND,Ferrari,1:17.921
8,27,Patrick TambayTAM,Ferrari,1:17.958
9,7,John WatsonWAT,McLaren Ford,1:17.986
10,35,Derek WarwickWAR,Toleman Hart,1:18.012
11,26,Jacques LaffiteLAF,Ligier Matra,1:18.056
12,1,Nelson PiquetPIQ,Brabham Ford,1:18.275
13,8,Niki LaudaLAU,McLaren Ford,1:18.333
14,5,Derek DalyDAL,Williams Ford,1:18.418
15,14,Roberto GuerreroGUE,Ensign Ford,1:18.496
16,23,Bruno GiacomelliGIA,Alfa Romeo,1:18.622
17,29,Marc SurerSUR,Arrows Ford,1:18.734
18,22,Andrea de CesarisDEC,Alfa Romeo,1:18.761
19,4,Brian HentonHEN,Tyrrell Ford,1:18.765
20,11,Elio de AngelisDEA,Lotus Ford,1:19.302
21,12,Nigel MansellMAN,Lotus Ford,1:19.439
22,9,Manfred WinkelhockWIN,ATS Ford,1:19.767
23,30,Mauro BaldiBAL,Arrows Ford,1:20.271
24,18,Raul BoeselBOE,March Ford,1:20.766
25,17,Rupert KeeganKEE,March Ford,1:21.180
26,33,Tommy ByrneBYR,Theodore Ford,1:21.555
