Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Michele AlboretoALB,Tyrrell Ford,60,1:50:53.669,9
2,1,Keke RosbergROS,Williams Ford,60,+7.702s,6
3,7,John WatsonWAT,McLaren Ford,60,+9.283s,4
4,5,Nelson PiquetPIQ,Brabham BMW,60,+72.185s,3
5,2,Jacques LaffiteLAF,Williams Ford,60,+92.603s,2
6,12,Nigel MansellMAN,Lotus Ford,59,+1 lap,1
7,30,Thierry BoutsenBOU,Arrows Ford,59,+1 lap,0
8,15,Alain ProstPRO,Renault,59,+1 lap,0
9,36,Bruno GiacomelliGIA,Toleman Hart,59,+1 lap,0
10,26,Raul BoeselBOE,Ligier Ford,58,+2 laps,0
11,29,Marc SurerSUR,Arrows Ford,58,+2 laps,0
12,23,Mauro BaldiBAL,Alfa Romeo,56,+4 laps,0
NC,8,Niki LaudaLAU,McLaren Ford,49,DNF,0
NC,33,Roberto GuerreroGUE,Theodore Ford,38,DNF,0
NC,34,Johnny CecottoCEC,Theodore Ford,34,DNF,0
NC,22,Andrea de CesarisDEC,Alfa Romeo,33,DNF,0
NC,28,Rene ArnouxARN,Ferrari,31,DNF,0
NC,4,Danny SullivanSUL,Tyrrell Ford,30,DNF,0
NC,25,Jean-Pierre JarierJAR,Ligier Ford,29,DNF,0
NC,9,Manfred WinkelhockWIN,ATS BMW,26,DNF,0
NC,35,Derek WarwickWAR,Toleman Hart,25,DNF,0
NC,6,Riccardo PatresePAT,Brabham BMW,24,DNF,0
NC,11,Elio de AngelisDEA,Lotus Renault,5,DNF,0
NC,16,Eddie  CheeverCHE,Renault,4,DNF,0
NC,32,Piercarlo GhinzaniGHI,Osella Alfa Romeo,4,DNF,0
