Pos,No,Driver,Car,Lap,Time
1,8,Niki LaudaLAU,McLaren TAG,51,1:22.996
2,7,Alain ProstPRO,McLaren TAG,39,1:23.452
3,20,Stefan JohanssonJOH,Toleman Hart,51,1:24.053
4,27,Michele AlboretoALB,Ferrari,68,1:24.148
5,12,Nigel MansellMAN,Lotus Renault,47,1:24.267
6,1,Nelson PiquetPIQ,Brabham BMW,39,1:24.275
7,19,Ayrton SennaSEN,Toleman Hart,46,1:24.373
8,5,Jacques LaffiteLAF,Williams Honda,55,1:24.507
9,16,Derek WarwickWAR,Renault,20,1:25.309
10,15,Patrick TambayTAM,Renault,37,1:25.506
11,6,Keke RosbergROS,Williams Honda,37,1:25.667
12,11,Elio de AngelisDEA,Lotus Renault,45,1:25.680
13,28,Rene ArnouxARN,Ferrari,53,1:25.711
14,23,Eddie  CheeverCHE,Alfa Romeo,33,1:26.020
15,22,Riccardo PatresePAT,Alfa Romeo,43,1:26.173
16,2,Manfred WinkelhockWIN,Brabham BMW,63,1:26.404
17,14,Gerhard BergerBER,ATS BMW,59,1:26.601
18,26,Andrea de CesarisDEC,Ligier Renault,36,1:26.806
19,33,Philippe StreiffSTR,Renault,43,1:26.874
20,30,Jo GartnerGAR,Osella Alfa Romeo,58,1:27.169
21,18,Thierry BoutsenBOU,Arrows BMW,24,1:27.725
22,21,Mauro BaldiBAL,Spirit Ford,48,1:27.772
23,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,42,1:28.410
24,17,Marc SurerSUR,Arrows BMW,7,1:28.635
25,25,Francois HesnaultHES,Ligier Renault,19,1:29.219
26,10,Jonathan  PalmerPAL,RAM Hart,6,1:30.711
31,9,Philippe AlliotALL,RAM Hart,2,1:35.542
