Pos,No,Driver,Car,Lap,Time
1,7,Alain ProstPRO,McLaren TAG,59,1:05.257
2,8,Niki LaudaLAU,McLaren TAG,59,1:06.100
3,15,Patrick TambayTAM,Renault,54,1:06.876
4,28,Rene ArnouxARN,Ferrari,67,1:07.286
5,16,Derek WarwickWAR,Renault,51,1:07.293
6,12,Nigel MansellMAN,Lotus Renault,77,1:07.448
7,6,Keke RosbergROS,Williams Honda,76,1:07.490
8,2,Teo FabiFAB,Brabham BMW,61,1:07.838
9,5,Jacques LaffiteLAF,Williams Honda,64,1:07.861
10,27,Michele AlboretoALB,Ferrari,31,1:08.400
11,11,Elio de AngelisDEA,Lotus Renault,70,1:08.608
12,18,Thierry BoutsenBOU,Arrows BMW,73,1:09.177
13,1,Nelson PiquetPIQ,Brabham BMW,11,1:09.186
14,26,Andrea de CesarisDEC,Ligier Renault,77,1:09.779
15,19,Ayrton SennaSEN,Toleman Hart,32,1:10.100
16,23,Eddie  CheeverCHE,Alfa Romeo,42,1:10.253
17,21,Mauro BaldiBAL,Spirit Ford,41,1:10.692
18,20,Johnny CecottoCEC,Toleman Hart,21,1:10.999
19,22,Riccardo PatresePAT,Alfa Romeo,10,1:11.047
20,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,44,1:11.179
21,14,Manfred WinkelhockWIN,ATS BMW,5,1:11.394
22,17,Marc SurerSUR,Arrows BMW,25,1:11.783
23,9,Philippe AlliotALL,RAM Hart,4,1:13.476
24,10,Jonathan  PalmerPAL,RAM Hart,31,1:13.713
