Pos,No,Driver,Car,Time
1,11,Elio de AngelisDEA,Lotus Renault,1:28.392
2,27,Michele AlboretoALB,Ferrari,1:28.898
3,16,Derek WarwickWAR,Renault,1:29.025
4,7,Alain ProstPRO,McLaren TAG,1:29.330
5,12,Nigel MansellMAN,Lotus Renault,1:29.364
6,8,Niki LaudaLAU,McLaren TAG,1:29.854
7,1,Nelson PiquetPIQ,Brabham BMW,1:30.149
8,15,Patrick TambayTAM,Renault,1:30.554
9,6,Keke RosbergROS,Williams Honda,1:30.611
10,28,Rene ArnouxARN,Ferrari,1:30.695
11,22,Riccardo PatresePAT,Alfa Romeo,1:30.973
12,23,Eddie  CheeverCHE,Alfa Romeo,1:31.282
13,5,Jacques LaffiteLAF,Williams Honda,1:31.548
14,26,Andrea de CesarisDEC,Ligier Renault,1:32.895
15,2,Teo FabiFAB,Brabham BMW,1:33.277
16,19,Ayrton SennaSEN,Toleman Hart,1:33.525
17,20,Johnny CecottoCEC,Toleman Hart,1:35.300
18,25,Francois HesnaultHES,Ligier Renault,1:36.238
19,18,Thierry BoutsenBOU,Arrows Ford,1:36.312
20,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:36.434
21,21,Mauro BaldiBAL,Spirit Hart,1:36.816
22,17,Marc SurerSUR,Arrows Ford,1:37.204
23,9,Philippe AlliotALL,RAM Hart,1:37.709
24,10,Jonathan  PalmerPAL,RAM Hart,1:37.919
