Pos,No,Driver,Car,Time
1,1,Nelson PiquetPIQ,Brabham BMW,1:25.442
2,7,Alain ProstPRO,McLaren TAG,1:26.198
3,11,Elio de AngelisDEA,Lotus Renault,1:26.306
4,16,Derek WarwickWAR,Renault,1:26.420
5,28,Rene ArnouxARN,Ferrari,1:26.549
6,27,Michele AlboretoALB,Ferrari,1:26.764
7,12,Nigel MansellMAN,Lotus Renault,1:27.246
8,8,Niki LaudaLAU,McLaren TAG,1:27.392
9,19,Ayrton SennaSEN,Toleman Hart,1:27.448
10,26,Andrea de CesarisDEC,Ligier Renault,1:27.922
11,23,Eddie  CheeverCHE,Alfa Romeo,1:28.032
12,14,Manfred WinkelhockWIN,ATS BMW,1:28.909
13,25,Francois HesnaultHES,Ligier Renault,1:29.187
14,22,Riccardo PatresePAT,Alfa Romeo,1:29.205
15,6,Keke RosbergROS,Williams Honda,1:29.284
16,2,Corrado FabiFAB,Brabham BMW,1:29.764
17,5,Jacques LaffiteLAF,Williams Honda,1:29.915
18,18,Thierry BoutsenBOU,Arrows BMW,1:30.073
19,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:30.918
20,20,Johnny CecottoCEC,Toleman Hart,1:31.459
21,17,Marc SurerSUR,Arrows Ford,1:32.756
22,21,Huub RothengatterROT,Spirit Hart,1:32.920
23,10,Mike ThackwellTHA,RAM Hart,1:33.750
24,9,Philippe AlliotALL,RAM Hart,1:35.286
