Pos,No,Driver,Car,Time
1,1,Nelson PiquetPIQ,Brabham BMW,1:04.871
2,6,Keke RosbergROS,Williams Honda,1:05.058
3,12,Nigel MansellMAN,Lotus Renault,1:05.125
4,15,Patrick TambayTAM,Renault,1:05.339
5,7,Alain ProstPRO,McLaren TAG,1:05.354
6,2,Teo FabiFAB,Brabham BMW,1:05.923
7,11,Elio de AngelisDEA,Lotus Renault,1:05.953
8,8,Niki LaudaLAU,McLaren TAG,1:06.043
9,16,Derek WarwickWAR,Renault,1:06.056
10,27,Michele AlboretoALB,Ferrari,1:06.323
11,5,Jacques LaffiteLAF,Williams Honda,1:06.762
12,14,Manfred WinkelhockWIN,ATS BMW,1:06.974
13,19,Ayrton SennaSEN,Toleman Hart,1:06.981
14,26,Andrea de CesarisDEC,Ligier Renault,1:07.245
15,28,Rene ArnouxARN,Ferrari,1:07.345
16,23,Eddie  CheeverCHE,Alfa Romeo,1:07.704
17,25,Francois HesnaultHES,Ligier Renault,1:07.787
18,22,Riccardo PatresePAT,Alfa Romeo,1:08.042
19,20,Johnny CecottoCEC,Toleman Hart,1:08.298
20,21,Mauro BaldiBAL,Spirit Ford,1:09.923
21,10,Jonathan  PalmerPAL,RAM Hart,1:10.383
22,9,Philippe AlliotALL,RAM Hart,1:10.619
23,17,Marc SurerSUR,Arrows BMW,1:11.808
24,18,Thierry BoutsenBOU,Arrows BMW,1:12.274
