Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,McLaren TAG,1:55.306
2,12,Ayrton SennaSEN,Lotus Renault,1:55.403
3,7,Nelson PiquetPIQ,Brabham BMW,1:55.648
4,27,Michele AlboretoALB,Ferrari,1:56.021
5,28,Stefan JohanssonJOH,Ferrari,1:56.585
6,18,Thierry BoutsenBOU,Arrows BMW,1:56.697
7,5,Nigel MansellMAN,Williams Honda,1:56.727
8,17,Gerhard BergerBER,Arrows BMW,1:56.770
9,11,Elio de AngelisDEA,Lotus Renault,1:57.322
10,6,Keke RosbergROS,Williams Honda,1:57.465
11,19,Teo FabiFAB,Toleman Hart,1:57.588
12,8,Marc SurerSUR,Brabham BMW,1:57.729
13,15,Patrick TambayTAM,Renault,1:58.105
14,16,Derek WarwickWAR,Renault,1:58.407
15,22,Riccardo PatresePAT,Alfa Romeo,1:58.414
16,20,Piercarlo GhinzaniGHI,Toleman Hart,1:58.706
17,26,Jacques LaffiteLAF,Ligier Renault,1:58.933
18,25,Philippe StreiffSTR,Ligier Renault,1:59.245
19,23,Eddie  CheeverCHE,Alfa Romeo,1:59.370
20,9,Philippe AlliotALL,RAM Hart,1:59.626
21,3,Martin BrundleBRU,Tyrrell Renault,2:00.950
22,30,Christian DannerDAN,Zakspeed,2:05.059
23,24,Huub RothengatterROT,Osella Alfa Romeo,2:05.776
24,29,Pierluigi MartiniMAR,Minardi Motori Moderni,2:06.007
