Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,41,1:41.233
2,12,Ayrton SennaSEN,Lotus Renault,42,1:41.981
3,25,Rene ArnouxARN,Ligier Renault,46,1:42.921
4,5,Nigel MansellMAN,Williams Honda,29,1:43.051
5,1,Alain ProstPRO,McLaren TAG,39,1:43.293
6,26,Jacques LaffiteLAF,Ligier Renault,40,1:43.416
7,27,Michele AlboretoALB,Ferrari,54,1:43.619
8,7,Riccardo PatresePAT,Brabham BMW,23,1:44.698
9,28,Stefan JohanssonJOH,Ferrari,21,1:44.864
10,2,Keke RosbergROS,McLaren TAG,12,1:45.254
11,11,Johnny DumfriesDUM,Lotus Renault,38,1:45.434
12,16,Eddie  CheeverCHE,Lola Hart,27,1:45.836
13,20,Gerhard BergerBER,Benetton BMW,4,1:45.914
14,8,Derek WarwickWAR,Brabham BMW,52,1:46.136
15,15,Alan  JonesJON,Lola Hart,19,1:46.579
16,23,Andrea de CesarisDEC,Minardi Motori Moderni,36,1:46.621
17,14,Jonathan  PalmerPAL,Zakspeed,52,1:46.756
18,4,Philippe StreiffSTR,Tyrrell Renault,47,1:46.869
19,18,Thierry BoutsenBOU,Arrows BMW,40,1:47.005
20,19,Teo FabiFAB,Benetton BMW,7,1:47.122
21,3,Martin BrundleBRU,Tyrrell Renault,12,1:47.819
22,17,Christian DannerDAN,Arrows BMW,18,1:49.499
23,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,5,1:51.711
24,24,Alessandro NanniniNAN,Minardi Motori Moderni,2,1:53.122
25,22,Allen BergBER,Osella Alfa Romeo,4,1:53.507
