Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Honda,1:23.440,
2,6,Nelson PiquetPIQ,Williams Honda,1:24.097,+0.656s
3,25,Rene ArnouxARN,Ligier Renault,1:24.344,+0.903s
4,12,Ayrton SennaSEN,Lotus Renault,1:24.839,+1.400s
5,2,Keke RosbergROS,McLaren TAG,1:24.978,+1.536s
6,27,Michele AlboretoALB,Ferrari,1:25.141,+1.700s
7,20,Gerhard BergerBER,Benetton BMW,1:25.217,+1.776s
8,1,Alain ProstPRO,McLaren TAG,1:25.973,+2.533s
9,19,Teo FabiFAB,Benetton BMW,1:26.012,+2.573s
10,3,Martin BrundleBRU,Tyrrell Renault,1:26.310,+2.870s
11,4,Philippe StreiffSTR,Tyrrell Renault,1:26.363,+2.923s
12,8,Derek WarwickWAR,Brabham BMW,1:26.845,+3.406s
13,26,Philippe AlliotALL,Ligier Renault,1:26.900,+3.460s
14,15,Alan  JonesJON,Lola Ford,1:27.290,+3.850s
15,11,Johnny DumfriesDUM,Lotus Renault,1:27.366,+3.926s
16,28,Stefan JohanssonJOH,Ferrari,1:27.389,+3.950s
17,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:27.650,+4.210s
18,16,Patrick TambayTAM,Lola Ford,1:27.670,+4.230s
19,14,Jonathan  PalmerPAL,Zakspeed,1:27.752,+4.313s
20,18,Thierry BoutsenBOU,Arrows BMW,1:28.467,+5.026s
21,29,Huub RothengatterROT,Zakspeed,1:29.373,+5.933s
22,7,Riccardo PatresePAT,Brabham BMW,1:29.496,+6.056s
23,17,Christian DannerDAN,Arrows BMW,1:29.729,+6.290s
24,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:30.075,+6.636s
25,22,Allen BergBER,Osella Alfa Romeo,2:04.346,+40.906s
26,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,8:35.061,+431.620s
