Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:06.526
2,5,Nigel MansellMAN,Williams Honda,1:06.755
3,6,Nelson PiquetPIQ,Williams Honda,1:06.797
4,25,Rene ArnouxARN,Ligier Renault,1:07.075
5,1,Alain ProstPRO,McLaren TAG,1:07.266
6,27,Michele AlboretoALB,Ferrari,1:07.365
7,2,Keke RosbergROS,McLaren TAG,1:07.545
8,20,Gerhard BergerBER,Benetton BMW,1:07.554
9,19,Teo FabiFAB,Benetton BMW,1:07.818
10,28,Stefan JohanssonJOH,Ferrari,1:07.874
11,26,Jacques LaffiteLAF,Ligier Renault,1:07.913
12,11,Johnny DumfriesDUM,Lotus Renault,1:08.544
13,16,Patrick TambayTAM,Lola Ford,1:08.616
14,8,Derek WarwickWAR,Brabham BMW,1:08.905
15,3,Martin BrundleBRU,Tyrrell Renault,1:09.044
16,7,Riccardo PatresePAT,Brabham BMW,1:09.436
17,4,Philippe StreiffSTR,Tyrrell Renault,1:09.700
18,17,Christian DannerDAN,Arrows BMW,1:09.737
19,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:09.792
20,15,Alan  JonesJON,Lola Ford,1:09.929
21,18,Thierry BoutsenBOU,Arrows BMW,1:09.987
22,14,Jonathan  PalmerPAL,Zakspeed,1:10.305
23,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:11.483
24,29,Huub RothengatterROT,Zakspeed,1:12.163
25,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:12.443
26,22,Allen BergBER,Osella Alfa Romeo,1:14.264
