Pos,No,Driver,Car,Time
1,6,Nelson PiquetPIQ,Williams Honda,1:06.961
2,5,Nigel MansellMAN,Williams Honda,1:07.399
3,12,Ayrton SennaSEN,Lotus Renault,1:07.524
4,20,Gerhard BergerBER,Benetton BMW,1:08.196
5,2,Keke RosbergROS,McLaren TAG,1:08.477
6,1,Alain ProstPRO,McLaren TAG,1:09.334
7,19,Teo FabiFAB,Benetton BMW,1:09.409
8,25,Rene ArnouxARN,Ligier Renault,1:09.543
9,8,Derek WarwickWAR,Brabham BMW,1:10.209
10,11,Johnny DumfriesDUM,Lotus Renault,1:10.304
11,3,Martin BrundleBRU,Tyrrell Renault,1:10.334
12,27,Michele AlboretoALB,Ferrari,1:10.338
13,18,Thierry BoutsenBOU,Arrows BMW,1:10.941
14,15,Alan  JonesJON,Lola Ford,1:11.121
15,7,Riccardo PatresePAT,Brabham BMW,1:11.267
16,4,Philippe StreiffSTR,Tyrrell Renault,1:11.450
17,16,Patrick TambayTAM,Lola Ford,1:11.458
18,28,Stefan JohanssonJOH,Ferrari,1:11.500
19,26,Jacques LaffiteLAF,Ligier Renault,1:12.281
20,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:12.848
21,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:12.980
22,14,Jonathan  PalmerPAL,Zakspeed,1:13.009
23,17,Christian DannerDAN,Arrows BMW,1:13.261
24,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:16.134
25,29,Huub RothengatterROT,Zakspeed,1:16.854
26,22,Allen BergBER,Osella Alfa Romeo,1:18.319
