Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Honda,24,1:45.716
2,1,Alain ProstPRO,McLaren TAG,24,1:46.807
3,6,Nelson PiquetPIQ,Williams Honda,39,1:47.517
4,12,Ayrton SennaSEN,Lotus Honda,5,1:49.187
5,27,Michele AlboretoALB,Ferrari,5,1:49.509
6,9,Martin BrundleBRU,Zakspeed,34,1:49.742
7,2,Stefan JohanssonJOH,McLaren TAG,22,1:49.778
8,20,Thierry BoutsenBOU,Benetton Ford,4,1:49.864
9,8,Andrea de CesarisDEC,Brabham BMW,7,1:50.436
10,17,Derek WarwickWAR,Arrows Megatron,17,1:50.608
11,28,Gerhard BergerBER,Ferrari,6,1:50.667
12,19,Teo FabiFAB,Benetton Ford,8,1:50.758
13,18,Eddie  CheeverCHE,Arrows Megatron,8,1:51.014
14,11,Satoru NakajimaNAK,Lotus Honda,6,1:51.054
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,6,1:52.382
16,26,Piercarlo GhinzaniGHI,Ligier Megatron,5,1:52.512
17,7,Riccardo PatresePAT,Brabham BMW,3,1:53.002
18,25,Rene ArnouxARN,Ligier Megatron,2,1:53.433
19,4,Philippe StreiffSTR,Tyrrell Ford,20,1:54.228
20,3,Jonathan  PalmerPAL,Tyrrell Ford,20,1:54.294
21,10,Christian DannerDAN,Zakspeed,7,1:54.464
22,23,Adrian CamposCAM,Minardi Motori Moderni,23,1:54.705
23,30,Philippe AlliotALL,Lola Ford,7,1:54.771
24,21,Alex CaffiCAF,Osella Alfa Romeo,5,1:55.549
25,16,Ivan CapelliCAP,March Ford,6,1:57.292
26,14,Pascal FabreFAB,AGS Ford,2,1:58.770
