Pos,No,Driver,Car,Time
1,6,Nelson PiquetPIQ,Williams Honda,1:23.357
2,5,Nigel MansellMAN,Williams Honda,1:23.459
3,28,Gerhard BergerBER,Ferrari,1:24.213
4,20,Thierry BoutsenBOU,Benetton Ford,1:24.348
5,19,Teo FabiFAB,Benetton Ford,1:25.054
6,27,Michele AlboretoALB,Ferrari,1:25.077
7,12,Ayrton SennaSEN,Lotus Honda,1:25.492
8,7,Riccardo PatresePAT,Brabham BMW,1:25.766
9,1,Alain ProstPRO,McLaren TAG,1:26.170
10,8,Andrea de CesarisDEC,Brabham BMW,1:27.672
11,17,Derek WarwickWAR,Arrows Megatron,1:27.762
12,18,Eddie  CheeverCHE,Arrows Megatron,1:28.370
13,11,Satoru NakajimaNAK,Lotus Honda,1:28.786
14,2,Stefan JohanssonJOH,McLaren TAG,1:29.003
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:29.435
16,25,Rene ArnouxARN,Ligier Megatron,1:29.733
17,9,Martin BrundleBRU,Zakspeed,1:29.893
18,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:30.682
19,23,Adrian CamposCAM,Minardi Motori Moderni,1:30.797
20,10,Christian DannerDAN,Zakspeed,1:31.015
21,21,Alex CaffiCAF,Osella Alfa Romeo,1:32.313
22,30,Philippe AlliotALL,Lola Ford,1:33.741
23,16,Ivan CapelliCAP,March Ford,1:34.199
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:34.619
25,4,Philippe StreiffSTR,Tyrrell Ford,1:35.338
26,14,Pascal FabreFAB,AGS Ford,1:40.633
