Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:23.039
2,12,Ayrton SennaSEN,Lotus Honda,1:23.711
3,6,Nelson PiquetPIQ,Williams Honda,1:24.755
4,1,Alain ProstPRO,McLaren TAG,1:25.083
5,27,Michele AlboretoALB,Ferrari,1:26.102
6,18,Eddie  CheeverCHE,Arrows Megatron,1:26.175
7,2,Stefan JohanssonJOH,McLaren TAG,1:26.317
8,28,Gerhard BergerBER,Ferrari,1:26.323
9,20,Thierry BoutsenBOU,Benetton Ford,1:26.630
10,7,Riccardo PatresePAT,Brabham BMW,1:26.763
11,17,Derek WarwickWAR,Arrows Megatron,1:27.294
12,19,Teo FabiFAB,Benetton Ford,1:27.622
13,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:27.731
14,9,Martin BrundleBRU,Zakspeed,1:27.894
15,3,Jonathan  PalmerPAL,Tyrrell Ford,1:28.088
16,21,Alex CaffiCAF,Osella Alfa Romeo,1:28.233
17,11,Satoru NakajimaNAK,Lotus Honda,1:28.890
18,30,Philippe AlliotALL,Lola Ford,1:29.114
19,16,Ivan CapelliCAP,March Ford,1:29.147
20,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:29.258
21,8,Andrea de CesarisDEC,Brabham BMW,1:29.827
22,25,Rene ArnouxARN,Ligier Megatron,1:30.000
23,4,Philippe StreiffSTR,Tyrrell Ford,1:30.143
24,23,Adrian CamposCAM,Minardi Motori Moderni,1:30.805
25,14,Pascal FabreFAB,AGS Ford,1:31.667
