Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:19.475,
2,11,Alain ProstPRO,McLaren Honda,1:19.803,+0.328s
3,28,Gerhard BergerBER,Ferrari,1:19.988,+0.513s
4,1,Nelson PiquetPIQ,Lotus Honda,1:21.000,+1.525s
5,27,Michele AlboretoALB,Ferrari,1:21.452,+1.977s
6,18,Eddie  CheeverCHE,Arrows Megatron,1:22.237,+2.762s
7,17,Derek WarwickWAR,Arrows Megatron,1:22.388,+2.913s
8,2,Satoru NakajimaNAK,Lotus Honda,1:22.824,+3.349s
9,20,Thierry BoutsenBOU,Benetton Ford,1:22.827,+3.352s
10,5,Nigel MansellMAN,Williams Judd,1:23.527,+4.052s
11,19,Alessandro NanniniNAN,Benetton Ford,1:23.947,+4.472s
12,22,Andrea de CesarisDEC,Rial Ford,1:24.720,+5.245s
13,30,Philippe AlliotALL,Lola Ford,1:24.803,+5.328s
14,29,Yannick DalmasDAL,Lola Ford,1:24.853,+5.378s
15,6,Riccardo PatresePAT,Williams Judd,1:25.129,+5.654s
16,9,Piercarlo GhinzaniGHI,Zakspeed,1:25.269,+5.794s
17,16,Ivan CapelliCAP,March Judd,1:25.346,+5.871s
18,25,Rene ArnouxARN,Ligier Judd,1:25.891,+6.416s
19,3,Jonathan  PalmerPAL,Tyrrell Ford,1:25.897,+6.422s
20,14,Philippe StreiffSTR,AGS Ford,1:26.305,+6.830s
21,24,Luis Perez-SalaPER,Minardi Ford,1:26.613,+7.138s
22,10,Bernd SchneiderSCH,Zakspeed,1:26.686,+7.211s
23,4,Julian BaileyBAI,Tyrrell Ford,1:27.092,+7.617s
24,36,Alex CaffiCAF,Dallara Ford,1:27.331,+7.856s
25,32,Oscar LarrauriLAR,Euro Brun Ford,1:27.523,+8.048s
26,15,Mauricio GugelminGUG,March Judd,1:27.548,+8.073s
27,21,Nicola LariniLAR,Osella,1:27.803,+8.328s
28,23,Adrian CamposCAM,Minardi Ford,1:27.973,+8.498s
29,31,Gabriele TarquiniTAR,Coloni Ford,1:28.498,+9.023s
30,33,Stefano ModenaMOD,Euro Brun Ford,1:31.473,+11.998s
31,26,Stefan JohanssonJOH,Ligier Judd,46:16.321,
