Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:45.615,
2,11,Alain ProstPRO,McLaren Honda,1:47.047,+1.432s
3,28,Gerhard BergerBER,Ferrari,1:47.839,+2.224s
4,1,Nelson PiquetPIQ,Lotus Honda,1:47.919,+2.304s
5,27,Michele AlboretoALB,Ferrari,1:49.062,+3.447s
6,19,Alessandro NanniniNAN,Benetton Ford,1:49.814,+4.199s
7,5,Nigel MansellMAN,Williams Judd,1:50.065,+4.450s
8,20,Thierry BoutsenBOU,Benetton Ford,1:50.069,+4.454s
9,16,Ivan CapelliCAP,March Judd,1:50.499,+4.884s
10,15,Mauricio GugelminGUG,March Judd,1:50.929,+5.314s
11,6,Riccardo PatresePAT,Williams Judd,1:50.978,+5.363s
12,2,Satoru NakajimaNAK,Lotus Honda,1:51.445,+5.830s
13,17,Derek WarwickWAR,Arrows Megatron,1:51.635,+6.020s
14,18,Eddie  CheeverCHE,Arrows Megatron,1:51.649,+6.034s
15,21,Nicola LariniLAR,Osella,1:52.321,+6.706s
16,14,Philippe StreiffSTR,AGS Ford,1:52.343,+6.728s
17,36,Alex CaffiCAF,Dallara Ford,1:53.031,+7.416s
18,22,Andrea de CesarisDEC,Rial Ford,1:53.092,+7.477s
19,4,Julian BaileyBAI,Tyrrell Ford,1:53.380,+7.765s
20,29,Yannick DalmasDAL,Lola Ford,1:53.705,+8.090s
21,30,Philippe AlliotALL,Lola Ford,1:54.055,+8.440s
22,23,Pierluigi MartiniMAR,Minardi Ford,1:54.091,+8.476s
23,32,Oscar LarrauriLAR,Euro Brun Ford,1:54.184,+8.569s
24,33,Stefano ModenaMOD,Euro Brun Ford,1:54.317,+8.702s
25,31,Gabriele TarquiniTAR,Coloni Ford,1:54.358,+8.743s
26,24,Luis Perez-SalaPER,Minardi Ford,1:54.658,+9.043s
27,9,Piercarlo GhinzaniGHI,Zakspeed,1:55.265,+9.650s
28,26,Stefan JohanssonJOH,Ligier Judd,1:55.303,+9.688s
29,25,Rene ArnouxARN,Ligier Judd,1:55.358,+9.743s
30,3,Jonathan  PalmerPAL,Tyrrell Ford,1:55.570,+9.955s
31,10,Bernd SchneiderSCH,Zakspeed,1:56.488,+10.873s
