Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:25.733,
2,11,Alain ProstPRO,McLaren Honda,1:26.262,+0.529s
3,28,Gerhard BergerBER,Ferrari,1:28.621,+2.888s
4,1,Nelson PiquetPIQ,Lotus Honda,1:28.686,+2.953s
5,27,Michele AlboretoALB,Ferrari,1:29.192,+3.459s
6,18,Eddie  CheeverCHE,Arrows Megatron,1:29.207,+3.474s
7,16,Ivan CapelliCAP,March Judd,1:30.090,+4.357s
8,36,Alex CaffiCAF,Dallara Ford,1:30.149,+4.416s
9,2,Satoru NakajimaNAK,Lotus Honda,1:30.360,+4.627s
10,10,Bernd SchneiderSCH,Zakspeed,1:30.481,+4.748s
11,17,Derek WarwickWAR,Arrows Megatron,1:30.670,+4.937s
12,21,Nicola LariniLAR,Osella,1:30.699,+4.966s
13,20,Thierry BoutsenBOU,Benetton Ford,1:30.858,+5.125s
14,23,Pierluigi MartiniMAR,Minardi Ford,1:30.929,+5.196s
15,19,Alessandro NanniniNAN,Benetton Ford,1:31.199,+5.466s
16,30,Philippe AlliotALL,Lola Ford,1:31.423,+5.690s
17,9,Piercarlo GhinzaniGHI,Zakspeed,1:31.475,+5.742s
18,5,Jean Louis SchlesserSCH,Williams Judd,1:31.550,+5.817s
19,22,Andrea de CesarisDEC,Rial Ford,1:31.845,+6.112s
20,25,Rene ArnouxARN,Ligier Judd,1:31.993,+6.260s
21,14,Philippe StreiffSTR,AGS Ford,1:32.021,+6.288s
22,29,Yannick DalmasDAL,Lola Ford,1:32.152,+6.419s
23,24,Luis Perez-SalaPER,Minardi Ford,1:32.177,+6.444s
24,15,Mauricio GugelminGUG,March Judd,1:32.840,+7.107s
25,26,Stefan JohanssonJOH,Ligier Judd,1:32.863,+7.130s
26,33,Stefano ModenaMOD,Euro Brun Ford,1:33.035,+7.302s
27,4,Julian BaileyBAI,Tyrrell Ford,1:33.048,+7.315s
28,6,Riccardo PatresePAT,Williams Judd,1:33.191,+7.458s
29,31,Gabriele TarquiniTAR,Coloni Ford,1:33.227,+7.494s
30,3,Jonathan  PalmerPAL,Tyrrell Ford,1:33.597,+7.864s
