Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:29.272,
2,12,Ayrton SennaSEN,McLaren Honda,1:31.137,+1.865s
3,28,Gerhard BergerBER,Ferrari,1:31.146,+1.874s
4,27,Michele AlboretoALB,Ferrari,1:31.701,+2.429s
5,1,Nelson PiquetPIQ,Lotus Honda,1:31.734,+2.462s
6,18,Eddie  CheeverCHE,Arrows Megatron,1:31.985,+2.713s
7,6,Riccardo PatresePAT,Williams Judd,1:32.088,+2.816s
8,19,Alessandro NanniniNAN,Benetton Ford,1:32.106,+2.834s
9,14,Philippe StreiffSTR,AGS Ford,1:32.839,+3.567s
10,15,Mauricio GugelminGUG,March Judd,1:33.076,+3.804s
11,29,Yannick DalmasDAL,Lola Ford,1:33.182,+3.910s
12,2,Satoru NakajimaNAK,Lotus Honda,1:33.205,+3.933s
13,5,Nigel MansellMAN,Williams Judd,1:33.228,+3.956s
14,17,Derek WarwickWAR,Arrows Megatron,1:33.587,+4.315s
15,30,Philippe AlliotALL,Lola Ford,1:33.628,+4.356s
16,31,Gabriele TarquiniTAR,Coloni Ford,1:33.638,+4.366s
17,24,Luis Perez-SalaPER,Minardi Ford,1:33.949,+4.677s
18,20,Thierry BoutsenBOU,Benetton Ford,1:34.015,+4.743s
19,16,Ivan CapelliCAP,March Judd,1:34.337,+5.065s
20,3,Jonathan  PalmerPAL,Tyrrell Ford,1:34.408,+5.136s
21,25,Rene ArnouxARN,Ligier Judd,1:34.422,+5.150s
22,33,Stefano ModenaMOD,Euro Brun Ford,1:34.453,+5.181s
23,32,Oscar LarrauriLAR,Euro Brun Ford,1:34.457,+5.185s
24,4,Julian BaileyBAI,Tyrrell Ford,1:35.143,+5.871s
25,22,Andrea de CesarisDEC,Rial Ford,1:35.282,+6.010s
26,23,Adrian CamposCAM,Minardi Ford,1:35.541,+6.269s
27,26,Stefan JohanssonJOH,Ligier Judd,1:35.751,+6.479s
28,36,Alex CaffiCAF,Dallara Ford,1:36.971,+7.699s
29,10,Bernd SchneiderSCH,Zakspeed,1:37.158,+7.886s
30,9,Piercarlo GhinzaniGHI,Zakspeed,1:37.301,+8.029s
