Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:08.216,
2,11,Alain ProstPRO,McLaren Honda,1:08.282,+0.066s
3,1,Nelson PiquetPIQ,Lotus Honda,1:09.660,+1.444s
4,20,Thierry BoutsenBOU,Benetton Ford,1:10.231,+2.015s
5,5,Nigel MansellMAN,Williams Judd,1:10.298,+2.082s
6,2,Satoru NakajimaNAK,Lotus Honda,1:10.490,+2.274s
7,28,Gerhard BergerBER,Ferrari,1:10.739,+2.523s
8,19,Alessandro NanniniNAN,Benetton Ford,1:10.811,+2.595s
9,18,Eddie  CheeverCHE,Arrows Megatron,1:10.969,+2.753s
10,22,Andrea de CesarisDEC,Rial Ford,1:11.201,+2.985s
11,17,Derek WarwickWAR,Arrows Megatron,1:11.202,+2.986s
12,30,Philippe AlliotALL,Lola Ford,1:11.629,+3.413s
13,15,Mauricio GugelminGUG,March Judd,1:11.664,+3.448s
14,6,Riccardo PatresePAT,Williams Judd,1:11.959,+3.743s
15,16,Ivan CapelliCAP,March Judd,1:12.107,+3.891s
16,14,Philippe StreiffSTR,AGS Ford,1:12.195,+3.979s
17,33,Stefano ModenaMOD,Euro Brun Ford,1:12.239,+4.023s
18,36,Alex CaffiCAF,Dallara Ford,1:12.306,+4.090s
19,27,Michele AlboretoALB,Ferrari,1:12.358,+4.142s
20,23,Pierluigi MartiniMAR,Minardi Ford,1:12.412,+4.196s
21,21,Nicola LariniLAR,Osella,1:12.523,+4.307s
22,25,Rene ArnouxARN,Ligier Judd,1:12.614,+4.398s
23,32,Oscar LarrauriLAR,Euro Brun Ford,1:12.748,+4.532s
24,24,Luis Perez-SalaPER,Minardi Ford,1:12.848,+4.632s
25,29,Yannick DalmasDAL,Lola Ford,1:12.949,+4.733s
26,10,Bernd SchneiderSCH,Zakspeed,1:13.038,+4.822s
27,9,Piercarlo GhinzaniGHI,Zakspeed,1:13.065,+4.849s
28,3,Jonathan  PalmerPAL,Tyrrell Ford,1:13.113,+4.897s
29,26,Stefan JohanssonJOH,Ligier Judd,1:13.133,+4.917s
30,4,Julian BaileyBAI,Tyrrell Ford,1:13.272,+5.056s
