Pos,No,Driver,Car,Laps,Time/retired,Pts
1,12,Ayrton SennaSEN,McLaren Honda,43,1:28:00.549,9
2,11,Alain ProstPRO,McLaren Honda,43,+30.470s,6
DQ,20,Thierry BoutsenBOU,Benetton Ford,43,+59.681s,0
DQ,19,Alessandro NanniniNAN,Benetton Ford,43,+68.594s,0
3,16,Ivan CapelliCAP,March Judd,43,+75.768s,4
4,1,Nelson PiquetPIQ,Lotus Honda,43,+83.628s,3
5,17,Derek WarwickWAR,Arrows Megatron,43,+85.355s,2
6,18,Eddie  CheeverCHE,Arrows Megatron,42,+1 lap,1
7,5,Martin BrundleBRU,Williams Judd,42,+1 lap,0
8,36,Alex CaffiCAF,Dallara Ford,42,+1 lap,0
9,30,Philippe AlliotALL,Lola Ford,42,+1 lap,0
10,14,Philippe StreiffSTR,AGS Ford,42,+1 lap,0
11,26,Stefan JohanssonJOH,Ligier Judd,39,DNF,0
12,3,Jonathan  PalmerPAL,Tyrrell Ford,39,DNF,0
13,10,Bernd SchneiderSCH,Zakspeed,38,DNF,0
NC,31,Gabriele TarquiniTAR,Coloni Ford,36,+7 laps,0
NC,27,Michele AlboretoALB,Ferrari,35,DNF,0
NC,6,Riccardo PatresePAT,Williams Judd,30,DNF,0
NC,15,Mauricio GugelminGUG,March Judd,29,DNF,0
NC,9,Piercarlo GhinzaniGHI,Zakspeed,25,DNF,0
NC,2,Satoru NakajimaNAK,Lotus Honda,22,DNF,0
NC,21,Nicola LariniLAR,Osella,14,DNF,0
NC,28,Gerhard BergerBER,Ferrari,11,DNF,0
NC,29,Yannick DalmasDAL,Lola Ford,9,DNF,0
NC,22,Andrea de CesarisDEC,Rial Ford,2,DNF,0
NC,25,Rene ArnouxARN,Ligier Judd,2,DNF,0
