Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,McLaren Honda,1:17.468
2,11,Alain ProstPRO,McLaren Honda,1:18.097
3,28,Gerhard BergerBER,Ferrari,1:18.120
4,1,Nelson PiquetPIQ,Lotus Honda,1:18.946
5,27,Michele AlboretoALB,Ferrari,1:19.626
6,2,Satoru NakajimaNAK,Lotus Honda,1:20.275
7,18,Eddie  CheeverCHE,Arrows Megatron,1:20.451
8,19,Alessandro NanniniNAN,Benetton Ford,1:20.740
9,17,Derek WarwickWAR,Arrows Megatron,1:20.775
10,16,Ivan CapelliCAP,March Judd,1:21.952
11,20,Thierry BoutsenBOU,Benetton Ford,1:22.029
12,22,Andrea de CesarisDEC,Rial Ford,1:22.245
13,30,Philippe AlliotALL,Lola Ford,1:22.348
14,5,Nigel MansellMAN,Williams Judd,1:22.363
15,10,Bernd SchneiderSCH,Zakspeed,1:22.642
16,15,Mauricio GugelminGUG,March Judd,1:22.801
17,6,Riccardo PatresePAT,Williams Judd,1:22.972
18,9,Piercarlo GhinzaniGHI,Zakspeed,1:23.078
19,14,Philippe StreiffSTR,AGS Ford,1:23.191
20,25,Rene ArnouxARN,Ligier Judd,1:23.287
21,31,Gabriele TarquiniTAR,Coloni Ford,1:23.603
22,29,Yannick DalmasDAL,Lola Ford,1:23.606
23,36,Alex CaffiCAF,Dallara Ford,1:23.716
24,26,Stefan JohanssonJOH,Ligier Judd,1:23.721
25,24,Luis Perez-SalaPER,Minardi Ford,1:23.857
26,32,Oscar LarrauriLAR,Euro Brun Ford,1:24.032
