Pos,No,Driver,Car,Time
1,36,Stefan JohanssonJOH,Onyx Ford,1:18.623
1,1,Ayrton SennaSEN,McLaren Honda,1:15.468
2,28,Gerhard BergerBER,Ferrari,1:16.059
2,30,Philippe AlliotALL,Lola Lamborghini,1:19.164
3,27,Nigel MansellMAN,Ferrari,1:16.193
3,41,Yannick DalmasDAL,AGS Ford,1:19.320
4,31,Roberto MorenoMOR,Coloni Ford,1:19.780
4,2,Alain ProstPRO,McLaren Honda,1:16.204
5,23,Pierluigi MartiniMAR,Minardi Ford,1:16.938
5,29,Michele AlboretoALB,Lola Lamborghini,1:19.869
6,6,Riccardo PatresePAT,Williams Renault,1:17.281
6,37,Jyrki JarvilehtoJAR,Onyx Ford,1:20.880
7,21,Alex CaffiCAF,Dallara Ford,1:17.661
7,18,Piercarlo GhinzaniGHI,Osella Ford,1:21.021
8,33,Oscar LarrauriLAR,Euro Brun Judd,1:21.326
8,5,Thierry BoutsenBOU,Williams Renault,1:17.801
9,40,Gabriele TarquiniTAR,AGS Ford,1:21.881
9,24,Luis Perez-SalaPER,Minardi Ford,1:17.844
10,17,Nicola LariniLAR,Osella Ford,1:22.688
10,7,Martin BrundleBRU,Brabham Judd,1:17.874
11,8,Stefano ModenaMOD,Brabham Judd,1:18.093
11,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:23.920
12,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:24.116
13,32,Enrico BertaggiaBER,Coloni Ford,1:28.526
13,19,Alessandro NanniniNAN,Benetton Ford,1:18.115
14,15,Mauricio GugelminGUG,March Judd,1:18.124
16,20,Emanuele PirroPIR,Benetton Ford,1:18.328
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:18.404
19,22,Andrea de CesarisDEC,Dallara Ford,1:18.442
20,11,Nelson PiquetPIQ,Lotus Judd,1:18.482
22,9,Derek WarwickWAR,Arrows Ford,1:18.711
23,25,Rene ArnouxARN,Ligier Ford,1:18.767
24,16,Ivan CapelliCAP,March Judd,1:18.785
25,12,Satoru NakajimaNAK,Lotus Judd,1:19.165
26,10,Eddie  CheeverCHE,Arrows Ford,1:19.247
27,4,Johnny HerbertHER,Tyrrell Ford,1:19.264
28,26,Olivier GrouillardGRO,Ligier Ford,1:19.436
29,39,Pierre Henri RaphanelRAP,Rial Ford,1:21.435
30,38,Christian DannerDAN,Rial Ford,1:21.678
