Pos,No,Driver,Car,Time
1,17,Nicola LariniLAR,Osella Ford,1:43.035
1,1,Ayrton SennaSEN,McLaren Honda,1:38.041
2,2,Alain ProstPRO,McLaren Honda,1:39.771
2,30,Philippe AlliotALL,Lola Lamborghini,1:43.089
3,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:44.053
3,28,Gerhard BergerBER,Ferrari,1:40.187
4,27,Nigel MansellMAN,Ferrari,1:40.406
4,29,Michele AlboretoALB,Lola Lamborghini,1:44.075
5,6,Riccardo PatresePAT,Williams Renault,1:40.936
5,18,Piercarlo GhinzaniGHI,Osella Ford,1:44.313
6,19,Alessandro NanniniNAN,Benetton Ford,1:41.103
6,31,Roberto MorenoMOR,Coloni Ford,1:44.498
7,36,Stefan JohanssonJOH,Onyx Ford,1:44.582
7,5,Thierry BoutsenBOU,Williams Renault,1:41.324
8,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:44.780
9,8,Stefano ModenaMOD,Brabham Judd,1:41.458
9,33,Oscar LarrauriLAR,Euro Brun Judd,1:45.446
10,37,Jyrki JarvilehtoJAR,Onyx Ford,1:45.787
11,40,Gabriele TarquiniTAR,AGS Ford,1:46.705
11,11,Nelson PiquetPIQ,Lotus Judd,1:41.802
12,12,Satoru NakajimaNAK,Lotus Judd,1:41.988
12,41,Yannick DalmasDAL,AGS Ford,1:48.306
13,7,Martin BrundleBRU,Brabham Judd,1:42.182
14,24,Luis Perez-SalaPER,Minardi Ford,1:42.283
15,21,Alex CaffiCAF,Dallara Ford,1:42.488
16,22,Andrea de CesarisDEC,Dallara Ford,1:42.581
17,16,Ivan CapelliCAP,March Judd,1:42.672
18,4,Jean AlesiALE,Tyrrell Ford,1:42.709
19,23,Paolo BarillaBAR,Minardi Ford,1:42.780
20,15,Mauricio GugelminGUG,March Judd,1:42.880
22,20,Emanuele PirroPIR,Benetton Ford,1:43.063
23,26,Olivier GrouillardGRO,Ligier Ford,1:43.379
24,10,Eddie  CheeverCHE,Arrows Ford,1:43.511
25,9,Derek WarwickWAR,Arrows Ford,1:43.599
26,3,Jonathan  PalmerPAL,Tyrrell Ford,1:43.757
27,25,Rene ArnouxARN,Ligier Ford,1:44.030
29,38,Pierre Henri RaphanelRAP,Rial Ford,1:47.160
30,39,Bertrand GachotGAC,Rial Ford,1:47.295
