Pos,No,Driver,Car,Time
1,7,Martin BrundleBRU,Brabham Judd,1:21.770
1,1,Ayrton SennaSEN,McLaren Honda,1:17.876
2,8,Stefano ModenaMOD,Brabham Judd,1:22.211
2,2,Alain ProstPRO,McLaren Honda,1:18.773
3,27,Nigel MansellMAN,Ferrari,1:19.137
3,21,Alex CaffiCAF,Dallara Ford,1:22.876
4,16,Ivan CapelliCAP,March Judd,1:19.337
4,36,Stefan JohanssonJOH,Onyx Ford,1:23.288
5,6,Riccardo PatresePAT,Williams Renault,1:19.656
5,37,Bertrand GachotGAC,Onyx Ford,1:23.752
6,28,Gerhard BergerBER,Ferrari,1:19.835
6,33,Gregor FoitekFOI,Euro Brun Judd,1:24.351
7,4,Michele AlboretoALB,Tyrrell Ford,1:20.066
7,17,Nicola LariniLAR,Osella Ford,1:24.392
8,5,Thierry BoutsenBOU,Williams Renault,1:20.234
8,39,Volker WeidlerWEI,Rial Ford,1:24.966
9,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:25.418
10,9,Derek WarwickWAR,Arrows Ford,1:20.601
10,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:25.658
11,26,Olivier GrouillardGRO,Ligier Ford,1:20.859
11,18,Piercarlo GhinzaniGHI,Osella Ford,1:26.065
12,41,Joachim WinkelhockWIN,AGS Ford,1:26.754
12,22,Andrea de CesarisDEC,Dallara Ford,1:20.873
13,19,Alessandro NanniniNAN,Benetton Ford,1:20.888
13,32,Pierre Henri RaphanelRAP,Coloni Ford,1:34.357
14,3,Jonathan  PalmerPAL,Tyrrell Ford,1:20.888
15,12,Satoru NakajimaNAK,Lotus Judd,1:20.943
16,30,Philippe AlliotALL,Lola Lamborghini,1:21.031
17,40,Gabriele TarquiniTAR,AGS Ford,1:21.031
18,20,Johnny HerbertHER,Benetton Ford,1:21.105
22,23,Pierluigi MartiniMAR,Minardi Ford,1:21.471
23,38,Christian DannerDAN,Rial Ford,1:21.696
24,10,Eddie  CheeverCHE,Arrows Ford,1:21.716
25,25,Rene ArnouxARN,Ligier Ford,1:21.830
26,11,Nelson PiquetPIQ,Lotus Judd,1:21.831
27,24,Luis Perez-SalaPER,Minardi Ford,1:21.935
28,15,Mauricio GugelminGUG,March Judd,1:22.081
29,29,Yannick DalmasDAL,Lola Lamborghini,1:25.651
30,31,Roberto MorenoMOR,Coloni Ford,3:34.095
