Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Thierry BoutsenBOU,Williams Renault,70,2:00:17.421,9
2,19,Alessandro NanniniNAN,Benetton Ford,70,+28.658s,6
3,6,Riccardo PatresePAT,Williams Renault,70,+37.683s,4
4,12,Satoru NakajimaNAK,Lotus Judd,70,+42.331s,3
5,20,Emanuele PirroPIR,Benetton Ford,68,+2 laps,2
6,23,Pierluigi MartiniMAR,Minardi Ford,67,+3 laps,1
7,15,Mauricio GugelminGUG,March Judd,66,+4 laps,0
8,8,Stefano ModenaMOD,Brabham Judd,64,+6 laps,0
NC,10,Eddie  CheeverCHE,Arrows Ford,42,DNF,0
NC,37,Jyrki JarvilehtoJAR,Onyx Ford,27,DNF,0
NC,26,Olivier GrouillardGRO,Ligier Ford,22,DNF,0
NC,11,Nelson PiquetPIQ,Lotus Judd,19,DNF,0
NC,18,Piercarlo GhinzaniGHI,Osella Ford,18,DNF,0
NC,27,Nigel MansellMAN,Ferrari,17,DNF,0
NC,1,Ayrton SennaSEN,McLaren Honda,13,DNF,0
NC,21,Alex CaffiCAF,Dallara Ford,13,DNF,0
NC,16,Ivan CapelliCAP,March Judd,13,DNF,0
NC,22,Andrea de CesarisDEC,Dallara Ford,12,DNF,0
NC,7,Martin BrundleBRU,Brabham Judd,12,DNF,0
NC,9,Derek WarwickWAR,Arrows Ford,7,DNF,0
NC,30,Philippe AlliotALL,Lola Lamborghini,6,DNF,0
NC,28,Gerhard BergerBER,Ferrari,6,DNF,0
NC,4,Jean AlesiALE,Tyrrell Ford,5,DNF,0
NC,25,Rene ArnouxARN,Ligier Ford,4,DNF,0
