Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,McLaren Honda,34,1:31.050
2,23,Pierluigi MartiniMAR,Minardi Ford,66,1:31.568
3,27,Ayrton SennaSEN,McLaren Honda,18,1:32.178
4,4,Jean AlesiALE,Tyrrell Ford,4,1:32.221
5,6,Riccardo PatresePAT,Williams Renault,38,1:32.222
6,29,Eric BernardBER,Lola Lamborghini,66,1:32.681
7,19,Alessandro NanniniNAN,Benetton Ford,67,1:32.694
8,3,Satoru NakajimaNAK,Tyrrell Ford,68,1:32.707
9,2,Nigel MansellMAN,Ferrari,40,1:32.814
10,20,Nelson PiquetPIQ,Benetton Ford,68,1:32.865
11,5,Thierry BoutsenBOU,Williams Renault,33,1:32.915
12,8,Stefano ModenaMOD,Brabham Judd,67,1:33.147
13,1,Alain ProstPRO,Ferrari,19,1:33.170
14,10,Bernd SchneiderSCH,Arrows Ford,62,1:33.573
15,30,Aguri SuzukiSUZ,Lola Lamborghini,48,1:33.819
16,22,Andrea de CesarisDEC,Dallara Ford,10,1:34.067
17,7,Gregor FoitekFOI,Brabham Judd,36,1:34.156
18,24,Paolo BarillaBAR,Minardi Ford,36,1:34.265
19,9,Michele AlboretoALB,Arrows Ford,65,1:34.517
20,14,Olivier GrouillardGRO,Osella Ford,29,1:35.350
21,11,Derek WarwickWAR,Lotus Lamborghini,5,1:35.396
22,33,Roberto MorenoMOR,Euro Brun Judd,14,1:35.446
23,16,Ivan CapelliCAP,Leyton House Judd,10,1:35.598
24,25,Nicola LariniLAR,Ligier Ford,3,1:36.971
25,15,Mauricio GugelminGUG,Leyton House Judd,56,1:37.058
