Pos,No,Driver,Car,Time,Gap
1,4,Jean AlesiALE,Tyrrell Ford,1:19.528,
2,27,Ayrton SennaSEN,McLaren Honda,1:20.120,+0.592s
3,2,Nigel MansellMAN,Ferrari,1:20.129,+0.601s
4,29,Eric BernardBER,Lola Lamborghini,1:20.968,+1.440s
5,6,Riccardo PatresePAT,Williams Renault,1:21.027,+1.499s
6,5,Thierry BoutsenBOU,Williams Renault,1:21.043,+1.515s
7,23,Pierluigi MartiniMAR,Minardi Ford,1:21.102,+1.574s
8,8,Stefano ModenaMOD,Brabham Judd,1:21.406,+1.878s
9,1,Alain ProstPRO,Ferrari,1:21.480,+1.952s
10,22,Andrea de CesarisDEC,Dallara Ford,1:21.703,+2.175s
11,28,Gerhard BergerBER,McLaren Honda,1:21.780,+2.252s
12,11,Derek WarwickWAR,Lotus Lamborghini,1:21.780,+2.252s
13,25,Nicola LariniLAR,Ligier Ford,1:21.859,+2.331s
14,19,Alessandro NanniniNAN,Benetton Ford,1:21.971,+2.443s
15,20,Nelson PiquetPIQ,Benetton Ford,1:22.257,+2.729s
16,21,Emanuele PirroPIR,Dallara Ford,1:22.367,+2.839s
17,24,Paolo BarillaBAR,Minardi Ford,1:22.557,+3.029s
18,12,Martin DonnellyDON,Lotus Lamborghini,1:23.040,+3.512s
19,15,Mauricio GugelminGUG,Leyton House Judd,1:23.165,+3.637s
20,10,Alex CaffiCAF,Arrows Ford,1:23.230,+3.702s
21,16,Ivan CapelliCAP,Leyton House Judd,1:23.313,+3.785s
22,9,Michele AlboretoALB,Arrows Ford,1:23.431,+3.903s
23,30,Aguri SuzukiSUZ,Lola Lamborghini,1:23.545,+4.017s
24,26,Philippe AlliotALL,Ligier Ford,1:23.550,+4.022s
25,17,Gabriele TarquiniTAR,AGS Ford,1:23.801,+4.273s
26,35,Gregor FoitekFOI,Onyx Ford,1:23.810,+4.282s
27,18,Yannick DalmasDAL,AGS Ford,1:24.093,+4.565s
28,3,Satoru NakajimaNAK,Tyrrell Ford,1:24.336,+4.808s
29,7,David BrabhamBRA,Brabham Judd,1:24.405,+4.877s
30,36,Jyrki JarvilehtoJAR,Onyx Ford,1:25.516,+5.988s
