Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:18.034,
2,1,Alain ProstPRO,Ferrari,1:18.159,+0.125s
3,28,Gerhard BergerBER,McLaren Honda,1:18.180,+0.146s
4,5,Thierry BoutsenBOU,Williams Renault,1:18.229,+0.195s
5,6,Riccardo PatresePAT,Williams Renault,1:18.602,+0.568s
6,2,Nigel MansellMAN,Ferrari,1:18.728,+0.694s
7,4,Jean AlesiALE,Tyrrell Ford,1:19.282,+1.248s
8,26,Philippe AlliotALL,Ligier Ford,1:19.330,+1.296s
9,22,Andrea de CesarisDEC,Dallara Ford,1:19.441,+1.407s
10,20,Nelson PiquetPIQ,Benetton Ford,1:19.446,+1.412s
11,19,Alessandro NanniniNAN,Benetton Ford,1:19.580,+1.546s
12,30,Aguri SuzukiSUZ,Lola Lamborghini,1:19.814,+1.780s
13,23,Pierluigi MartiniMAR,Minardi Ford,1:19.852,+1.818s
14,8,Stefano ModenaMOD,Brabham Judd,1:19.976,+1.942s
15,29,Eric BernardBER,Lola Lamborghini,1:20.093,+2.059s
16,36,Jyrki JarvilehtoJAR,Onyx Ford,1:20.485,+2.451s
17,25,Nicola LariniLAR,Ligier Ford,1:20.533,+2.499s
18,24,Paolo BarillaBAR,Minardi Ford,1:20.847,+2.813s
19,14,Olivier GrouillardGRO,Osella Ford,1:21.039,+3.005s
20,21,Gianni MorbidelliMOR,Dallara Ford,1:21.081,+3.047s
21,12,Martin DonnellyDON,Lotus Lamborghini,1:21.242,+3.208s
22,3,Satoru NakajimaNAK,Tyrrell Ford,1:21.264,+3.230s
23,9,Michele AlboretoALB,Arrows Ford,1:21.528,+3.494s
24,15,Mauricio GugelminGUG,Leyton House Judd,1:21.671,+3.637s
25,10,Alex CaffiCAF,Arrows Ford,1:21.787,+3.753s
26,11,Derek WarwickWAR,Lotus Lamborghini,1:21.787,+3.753s
27,35,Stefan JohanssonJOH,Onyx Ford,1:21.987,+3.953s
28,16,Ivan CapelliCAP,Leyton House Judd,1:22.026,+3.992s
29,18,Yannick DalmasDAL,AGS Ford,1:22.565,+4.531s
30,7,Gregor FoitekFOI,Brabham Judd,1:23.026,+4.992s
