Pos,No,Driver,Car,Lap,Time
1,32,Bertrand GachotGAC,Jordan Ford,71,1:21.547
2,1,Ayrton SennaSEN,McLaren Honda,58,1:22.392
3,5,Nigel MansellMAN,Williams Renault,56,1:22.574
4,6,Riccardo PatresePAT,Williams Renault,35,1:22.878
5,28,Jean AlesiALE,Ferrari,39,1:23.065
6,25,Thierry BoutsenBOU,Ligier Lamborghini,49,1:23.066
7,27,Alain ProstPRO,Ferrari,25,1:23.305
8,8,Mark BlundellBLU,Brabham Yamaha,43,1:23.467
9,23,Pierluigi MartiniMAR,Minardi Ferrari,41,1:23.824
10,19,Roberto MorenoMOR,Benetton Ford,54,1:23.943
11,2,Gerhard BergerBER,McLaren Honda,58,1:23.954
12,16,Ivan CapelliCAP,Leyton House Ilmor,48,1:23.962
13,24,Gianni MorbidelliMOR,Minardi Ferrari,52,1:24.128
14,33,Andrea de CesarisDEC,Jordan Ford,43,1:24.146
15,15,Mauricio GugelminGUG,Leyton House Ilmor,49,1:24.230
16,7,Martin BrundleBRU,Brabham Yamaha,19,1:24.573
17,4,Stefano ModenaMOD,Tyrrell Honda,66,1:24.576
18,11,Mika HakkinenHAK,Lotus Judd,66,1:24.594
19,26,Erik ComasCOM,Ligier Lamborghini,27,1:25.029
20,34,Nicola LariniLAR,Lambo Lamborghini,42,1:25.322
21,30,Aguri SuzukiSUZ,Lola Ford,32,1:25.548
22,22,Jyrki JarvilehtoJAR,Dallara Judd,43,1:25.697
23,29,Eric BernardBER,Lola Ford,34,1:25.713
24,20,Nelson PiquetPIQ,Benetton Ford,32,1:25.889
25,3,Satoru NakajimaNAK,Tyrrell Honda,55,1:26.078
26,21,Emanuele PirroPIR,Dallara Judd,17,1:26.554
