Pos,No,Driver,Car,Lap,Time
1,2,Gerhard BergerBER,McLaren Honda,55,1:26.531
2,1,Ayrton SennaSEN,McLaren Honda,47,1:27.168
3,19,Roberto MorenoMOR,Benetton Ford,44,1:28.423
4,6,Riccardo PatresePAT,Williams Renault,16,1:28.776
5,4,Stefano ModenaMOD,Tyrrell Honda,40,1:28.906
6,22,Jyrki JarvilehtoJAR,Dallara Judd,40,1:29.091
7,25,Thierry BoutsenBOU,Ligier Lamborghini,48,1:29.368
8,12,Julian BaileyBAI,Lotus Judd,58,1:29.968
9,7,Martin BrundleBRU,Brabham Yamaha,50,1:30.115
10,15,Mauricio GugelminGUG,Leyton House Ilmor,46,1:30.422
11,33,Andrea de CesarisDEC,Jordan Ford,28,1:30.471
12,23,Pierluigi MartiniMAR,Minardi Ferrari,33,1:30.476
13,11,Mika HakkinenHAK,Lotus Judd,56,1:30.481
14,35,Eric van de PoeleVAN,Lambo Lamborghini,50,1:30.528
15,16,Ivan CapelliCAP,Leyton House Ilmor,24,1:31.257
16,8,Mark BlundellBLU,Brabham Yamaha,53,1:31.442
17,26,Erik ComasCOM,Ligier Lamborghini,42,1:31.860
18,32,Bertrand GachotGAC,Jordan Ford,28,1:33.534
19,29,Eric BernardBER,Lola Ford,17,1:33.555
20,3,Satoru NakajimaNAK,Tyrrell Honda,15,1:44.827
21,24,Gianni MorbidelliMOR,Minardi Ferrari,10,1:50.522
22,28,Jean AlesiALE,Ferrari,2,1:55.709
23,30,Aguri SuzukiSUZ,Lola Ford,2,2:01.658
24,20,Nelson PiquetPIQ,Benetton Ford,1,2:21.555
