Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,65,1:22.385
2,6,Riccardo PatresePAT,Williams Renault,48,1:22.672
3,4,Stefano ModenaMOD,Tyrrell Honda,52,1:23.528
4,20,Nelson PiquetPIQ,Benetton Ford,34,1:23.758
5,33,Andrea de CesarisDEC,Jordan Ford,54,1:24.105
6,28,Jean AlesiALE,Ferrari,32,1:24.125
7,27,Alain ProstPRO,Ferrari,25,1:24.186
8,32,Bertrand GachotGAC,Jordan Ford,50,1:24.479
9,16,Ivan CapelliCAP,Leyton House Ilmor,40,1:24.547
10,1,Ayrton SennaSEN,McLaren Honda,19,1:24.647
11,22,Jyrki JarvilehtoJAR,Dallara Judd,48,1:24.680
12,21,Emanuele PirroPIR,Dallara Judd,45,1:25.183
13,23,Pierluigi MartiniMAR,Minardi Ferrari,46,1:25.237
14,3,Satoru NakajimaNAK,Tyrrell Honda,65,1:25.620
15,19,Roberto MorenoMOR,Benetton Ford,9,1:25.690
16,26,Erik ComasCOM,Ligier Lamborghini,36,1:25.877
17,25,Thierry BoutsenBOU,Ligier Lamborghini,27,1:26.469
18,29,Eric BernardBER,Lola Ford,28,1:26.510
19,24,Gianni MorbidelliMOR,Minardi Ferrari,16,1:26.576
20,11,Mika HakkinenHAK,Lotus Judd,18,1:26.626
21,7,Martin BrundleBRU,Brabham Yamaha,13,1:27.549
22,15,Mauricio GugelminGUG,Leyton House Ilmor,48,1:28.212
23,10,Stefan JohanssonJOH,Footwork Porsche,38,1:28.420
24,30,Aguri SuzukiSUZ,Lola Ford,3,1:29.644
25,2,Gerhard BergerBER,McLaren Honda,3,1:29.815
26,9,Michele AlboretoALB,Footwork Porsche,2,1:36.279
