Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,61,1:16.788
2,6,Riccardo PatresePAT,Williams Renault,67,1:17.299
3,1,Ayrton SennaSEN,McLaren Honda,52,1:18.570
4,33,Andrea de CesarisDEC,Jordan Ford,49,1:19.109
5,32,Bertrand GachotGAC,Jordan Ford,47,1:19.510
6,29,Eric BernardBER,Lola Ford,56,1:19.648
7,19,Roberto MorenoMOR,Benetton Ford,55,1:19.718
8,20,Nelson PiquetPIQ,Benetton Ford,42,1:19.744
9,4,Stefano ModenaMOD,Tyrrell Honda,50,1:19.920
10,25,Thierry BoutsenBOU,Ligier Lamborghini,64,1:19.953
11,28,Jean AlesiALE,Ferrari,37,1:20.129
12,24,Gianni MorbidelliMOR,Minardi Ferrari,56,1:20.411
13,11,Mika HakkinenHAK,Lotus Judd,63,1:20.446
14,12,Johnny HerbertHER,Lotus Judd,61,1:20.472
15,3,Satoru NakajimaNAK,Tyrrell Honda,58,1:20.613
16,30,Aguri SuzukiSUZ,Lola Ford,46,1:20.622
17,22,Jyrki JarvilehtoJAR,Dallara Judd,29,1:20.982
18,8,Mark BlundellBLU,Brabham Yamaha,46,1:21.105
19,27,Alain ProstPRO,Ferrari,13,1:21.266
20,9,Michele AlboretoALB,Footwork Porsche,21,1:22.269
21,16,Ivan CapelliCAP,Leyton House Ilmor,16,1:22.487
22,14,Olivier GrouillardGRO,Fondmetal Ford,10,1:23.300
23,7,Martin BrundleBRU,Brabham Yamaha,16,1:23.323
24,2,Gerhard BergerBER,McLaren Honda,4,1:23.948
25,23,Pierluigi MartiniMAR,Minardi Ferrari,4,1:24.014
26,15,Mauricio GugelminGUG,Leyton House Ilmor,7,1:24.895
