Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:49.963,
2,6,Riccardo PatresePAT,Williams Renault,1:50.123,+0.160s
3,1,Ayrton SennaSEN,McLaren Honda,1:50.473,+0.510s
4,27,Alain ProstPRO,Ferrari,1:50.733,+0.770s
5,32,Michael SchumacherMSC,Jordan Ford,1:51.071,+1.108s
6,20,Nelson PiquetPIQ,Benetton Ford,1:52.052,+2.089s
7,28,Jean AlesiALE,Ferrari,1:52.322,+2.359s
8,23,Pierluigi MartiniMAR,Minardi Ferrari,1:52.429,+2.466s
9,2,Gerhard BergerBER,McLaren Honda,1:52.769,+2.806s
10,30,Aguri SuzukiSUZ,Lola Ford,1:53.403,+3.440s
11,25,Thierry BoutsenBOU,Ligier Lamborghini,1:53.662,+3.699s
12,33,Andrea de CesarisDEC,Jordan Ford,1:53.753,+3.790s
13,19,Roberto MorenoMOR,Benetton Ford,1:53.912,+3.949s
14,4,Stefano ModenaMOD,Tyrrell Honda,1:53.920,+3.957s
15,7,Martin BrundleBRU,Brabham Yamaha,1:53.996,+4.033s
16,11,Mika HakkinenHAK,Lotus Judd,1:54.096,+4.133s
17,22,Jyrki JarvilehtoJAR,Dallara Judd,1:54.104,+4.141s
18,15,Mauricio GugelminGUG,Leyton House Ilmor,1:54.143,+4.180s
19,24,Gianni MorbidelliMOR,Minardi Ferrari,1:54.233,+4.270s
20,29,Eric BernardBER,Lola Ford,1:54.312,+4.349s
21,16,Ivan CapelliCAP,Leyton House Ilmor,1:54.470,+4.507s
22,3,Satoru NakajimaNAK,Tyrrell Honda,1:54.560,+4.597s
23,8,Mark BlundellBLU,Brabham Yamaha,1:54.652,+4.689s
24,34,Nicola LariniLAR,Lambo Lamborghini,1:54.922,+4.959s
25,26,Erik ComasCOM,Ligier Lamborghini,1:55.334,+5.371s
26,14,Olivier GrouillardGRO,Fondmetal Ford,1:55.700,+5.737s
27,12,Johnny HerbertHER,Lotus Judd,1:55.839,+5.876s
28,21,Emanuele PirroPIR,Dallara Judd,1:57.171,+7.208s
29,35,Eric van de PoeleVAN,Lambo Lamborghini,1:57.188,+7.225s
30,10,Alex CaffiCAF,Footwork Porsche,1:59.047,+9.084s
