Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:13.615,
2,1,Ayrton SennaSEN,McLaren Honda,1:14.501,+0.886s
3,2,Gerhard BergerBER,McLaren Honda,1:14.546,+0.931s
4,5,Nigel MansellMAN,Williams Renault,1:14.638,+1.023s
5,4,Stefano ModenaMOD,Tyrrell Honda,1:15.408,+1.793s
6,20,Nelson PiquetPIQ,Benetton Ford,1:15.661,+2.046s
7,23,Pierluigi MartiniMAR,Minardi Ferrari,1:15.857,+2.242s
8,22,Jyrki JarvilehtoJAR,Dallara Judd,1:15.872,+2.257s
9,19,Michael SchumacherMSC,Benetton Ford,1:15.881,+2.266s
10,21,Emanuele PirroPIR,Dallara Judd,1:16.125,+2.510s
11,16,Ivan CapelliCAP,Leyton House Ilmor,1:16.308,+2.693s
12,32,Roberto MorenoMOR,Jordan Ford,1:16.417,+2.802s
13,8,Mark BlundellBLU,Brabham Yamaha,1:16.509,+2.894s
14,15,Mauricio GugelminGUG,Leyton House Ilmor,1:16.797,+3.182s
15,9,Michele AlboretoALB,Footwork Porsche,1:16.861,+3.246s
16,7,Martin BrundleBRU,Brabham Yamaha,1:16.876,+3.261s
17,12,Johnny HerbertHER,Lotus Judd,1:17.082,+3.467s
18,26,Erik ComasCOM,Ligier Lamborghini,1:17.276,+3.661s
19,3,Satoru NakajimaNAK,Tyrrell Honda,1:17.392,+3.777s
20,24,Gianni MorbidelliMOR,Minardi Ferrari,1:17.534,+3.919s
21,25,Thierry BoutsenBOU,Ligier Lamborghini,1:17.549,+3.934s
22,30,Aguri SuzukiSUZ,Lola Ford,1:17.623,+4.008s
23,33,Andrea de CesarisDEC,Jordan Ford,1:17.727,+4.112s
24,11,Mika HakkinenHAK,Lotus Judd,1:18.062,+4.447s
25,27,Alain ProstPRO,Ferrari,1:18.092,+4.477s
26,35,Eric van de PoeleVAN,Lambo Lamborghini,1:18.164,+4.549s
27,34,Nicola LariniLAR,Lambo Lamborghini,1:18.171,+4.556s
28,17,Gabriele TarquiniTAR,AGS Ford,1:18.451,+4.836s
29,29,Eric BernardBER,Lola Ford,1:19.003,+5.388s
30,28,Jean AlesiALE,Ferrari,1:19.173,+5.558s
