Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:21.434
1,21,Emanuele PirroPIR,Dallara Judd,1:28.288
2,22,Jyrki JarvilehtoJAR,Dallara Judd,1:28.792
2,27,Alain ProstPRO,Ferrari,1:22.555
3,6,Riccardo PatresePAT,Williams Renault,1:22.833
3,34,Nicola LariniLAR,Lambo Lamborghini,1:30.244
4,5,Nigel MansellMAN,Williams Renault,1:23.218
4,32,Bertrand GachotGAC,Jordan Ford,1:30.304
5,33,Andrea de CesarisDEC,Jordan Ford,1:30.937
5,20,Nelson PiquetPIQ,Benetton Ford,1:23.384
6,31,Pedro ChavesCHA,Coloni Ford,1:31.113
6,28,Jean AlesiALE,Ferrari,1:23.519
7,2,Gerhard BergerBER,McLaren Honda,1:23.742
7,14,Olivier GrouillardGRO,Fondmetal Ford,1:32.126
8,35,Eric van de PoeleVAN,Lambo Lamborghini,1:37.046
8,19,Roberto MorenoMOR,Benetton Ford,1:23.881
11,4,Stefano ModenaMOD,Tyrrell Honda,1:25.065
12,7,Martin BrundleBRU,Brabham Yamaha,1:25.385
13,11,Mika HakkinenHAK,Lotus Judd,1:25.448
15,23,Pierluigi MartiniMAR,Minardi Ferrari,1:25.715
16,3,Satoru NakajimaNAK,Tyrrell Honda,1:25.752
18,16,Ivan CapelliCAP,Leyton House Ilmor,1:26.121
19,29,Eric BernardBER,Lola Ford,1:26.425
20,25,Thierry BoutsenBOU,Ligier Lamborghini,1:26.500
21,30,Aguri SuzukiSUZ,Lola Ford,1:26.548
22,17,Gabriele TarquiniTAR,AGS Ford,1:26.851
23,15,Mauricio GugelminGUG,Leyton House Ilmor,1:26.865
24,8,Mark BlundellBLU,Brabham Yamaha,1:26.915
25,9,Michele AlboretoALB,Footwork Porsche,1:27.015
26,24,Gianni MorbidelliMOR,Minardi Ferrari,1:27.042
27,26,Erik ComasCOM,Ligier Lamborghini,1:27.159
28,10,Alex CaffiCAF,Footwork Porsche,1:27.519
29,18,Stefan JohanssonJOH,AGS Ford,1:27.753
30,12,Julian BaileyBAI,Lotus Judd,1:28.570
