Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,70,1:17.578
2,1,Ayrton SennaSEN,McLaren Honda,68,1:18.140
3,6,Riccardo PatresePAT,Williams Renault,67,1:18.571
4,2,Gerhard BergerBER,McLaren Honda,66,1:19.085
5,19,Michael SchumacherMSC,Benetton Ford,66,1:19.224
6,12,Johnny HerbertHER,Lotus Ford,66,1:20.188
7,27,Jean AlesiALE,Ferrari,35,1:20.332
8,26,Erik ComasCOM,Ligier Renault,41,1:20.347
9,3,Olivier GrouillardGRO,Tyrrell Ilmor,43,1:20.476
10,25,Thierry BoutsenBOU,Ligier Renault,36,1:20.524
11,4,Andrea de CesarisDEC,Tyrrell Ilmor,33,1:20.679
12,30,Ukyo KatayamaKAT,Venturi Lamborghini,66,1:20.714
13,9,Michele AlboretoALB,Footwork Mugen Honda,66,1:20.821
14,33,Mauricio GugelminGUG,Jordan Yamaha,56,1:20.832
15,24,Gianni MorbidelliMOR,Minardi Lamborghini,55,1:20.852
16,21,Jyrki JarvilehtoJAR,Dallara Ferrari,43,1:20.922
17,11,Mika HakkinenHAK,Lotus Ford,65,1:20.956
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,40,1:21.146
19,28,Ivan CapelliCAP,Ferrari,28,1:21.376
20,15,Gabriele TarquiniTAR,Fondmetal Ford,22,1:22.031
21,23,Christian FittipaldiFIT,Minardi Lamborghini,39,1:22.072
22,16,Karl WendlingerWEN,March Ilmor,13,1:22.736
23,7,Eric van de PoeleVAN,Brabham Judd,59,1:23.165
24,22,Pierluigi MartiniMAR,Dallara Ferrari,48,1:23.612
25,29,Bertrand GachotGAC,Venturi Lamborghini,8,1:23.974
26,20,Martin BrundleBRU,Benetton Ford,1,1:51.189
