Pos,No,Driver,Car,Lap,Time
1,6,Riccardo PatresePAT,Williams Renault,34,1:19.490
2,5,Nigel MansellMAN,Williams Renault,48,1:19.682
3,15,Gabriele TarquiniTAR,Fondmetal Ford,56,1:21.028
4,19,Michael SchumacherMSC,Benetton Ford,46,1:21.625
5,16,Karl WendlingerWEN,March Ilmor,45,1:21.851
6,20,Martin BrundleBRU,Benetton Ford,28,1:22.019
7,27,Jean AlesiALE,Ferrari,52,1:22.048
8,3,Olivier GrouillardGRO,Tyrrell Ilmor,46,1:22.091
9,28,Ivan CapelliCAP,Ferrari,40,1:22.116
10,26,Erik ComasCOM,Ligier Renault,38,1:22.129
11,24,Gianni MorbidelliMOR,Minardi Lamborghini,42,1:22.160
12,25,Thierry BoutsenBOU,Ligier Renault,35,1:22.180
13,9,Michele AlboretoALB,Footwork Mugen Honda,40,1:22.217
14,21,Jyrki JarvilehtoJAR,Dallara Ferrari,46,1:22.445
15,11,Mika HakkinenHAK,Lotus Ford,45,1:22.593
16,23,Christian FittipaldiFIT,Minardi Lamborghini,41,1:22.597
17,30,Ukyo KatayamaKAT,Venturi Lamborghini,51,1:22.712
18,33,Mauricio GugelminGUG,Jordan Yamaha,35,1:22.722
19,12,Johnny HerbertHER,Lotus Ford,27,1:22.771
20,22,Pierluigi MartiniMAR,Dallara Ferrari,21,1:23.047
21,1,Ayrton SennaSEN,McLaren Honda,16,1:23.101
22,4,Andrea de CesarisDEC,Tyrrell Ilmor,19,1:23.241
23,29,Bertrand GachotGAC,Venturi Lamborghini,17,1:23.524
24,2,Gerhard BergerBER,McLaren Honda,3,1:23.601
25,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1,1:39.300
26,32,Stefano ModenaMOD,Jordan Yamaha,1,2:08.611
