Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,74,1:21.598
2,20,Martin BrundleBRU,Benetton Ford,48,1:23.406
3,1,Ayrton SennaSEN,McLaren Honda,49,1:23.470
4,19,Michael SchumacherMSC,Benetton Ford,32,1:23.868
5,6,Riccardo PatresePAT,Williams Renault,37,1:24.080
6,2,Gerhard BergerBER,McLaren Honda,30,1:24.172
7,27,Jean AlesiALE,Ferrari,25,1:24.827
8,29,Bertrand GachotGAC,Venturi Lamborghini,43,1:24.932
9,9,Michele AlboretoALB,Footwork Mugen Honda,49,1:25.004
10,28,Ivan CapelliCAP,Ferrari,28,1:25.032
11,21,Jyrki JarvilehtoJAR,Dallara Ferrari,55,1:25.390
12,23,Christian FittipaldiFIT,Minardi Lamborghini,40,1:25.594
13,11,Mika HakkinenHAK,Lotus Ford,12,1:25.871
14,10,Aguri SuzukiSUZ,Footwork Mugen Honda,50,1:25.909
15,26,Erik ComasCOM,Ligier Renault,50,1:26.002
16,12,Johnny HerbertHER,Lotus Ford,16,1:26.005
17,25,Thierry BoutsenBOU,Ligier Renault,16,1:26.320
18,33,Mauricio GugelminGUG,Jordan Yamaha,9,1:26.863
19,4,Andrea de CesarisDEC,Tyrrell Ilmor,7,1:26.916
20,32,Stefano ModenaMOD,Jordan Yamaha,6,1:28.149
21,3,Olivier GrouillardGRO,Tyrrell Ilmor,4,1:28.590
22,34,Roberto MorenoMOR,Moda Judd,11,1:30.344
23,15,Gabriele TarquiniTAR,Fondmetal Ford,8,1:30.718
24,16,Karl WendlingerWEN,March Ilmor,1,1:44.613
25,24,Gianni MorbidelliMOR,Minardi Lamborghini,1,5:34.500
