Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:20.390,
2,6,Riccardo PatresePAT,Williams Renault,1:20.717,+0.327s
3,1,Ayrton SennaSEN,McLaren Honda,1:20.954,+0.564s
4,27,Jean AlesiALE,Ferrari,1:21.672,+1.282s
5,2,Gerhard BergerBER,McLaren Honda,1:21.814,+1.424s
6,19,Michael SchumacherMSC,Benetton Ford,1:22.189,+1.799s
7,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:22.541,+2.151s
8,28,Ivan CapelliCAP,Ferrari,1:22.799,+2.409s
9,32,Stefano ModenaMOD,Jordan Yamaha,1:22.990,+2.600s
10,20,Martin BrundleBRU,Benetton Ford,1:23.113,+2.723s
11,16,Karl WendlingerWEN,March Ilmor,1:23.133,+2.743s
12,29,Bertrand GachotGAC,Venturi Lamborghini,1:23.139,+2.749s
13,9,Michele AlboretoALB,Footwork Mugen Honda,1:23.300,+2.910s
14,12,Johnny HerbertHER,Lotus Ford,1:23.477,+3.087s
15,33,Mauricio GugelminGUG,Jordan Yamaha,1:23.608,+3.218s
16,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:23.981,+3.591s
17,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:24.123,+3.733s
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:24.297,+3.907s
19,22,Pierluigi MartiniMAR,Dallara Ferrari,1:24.316,+3.926s
20,23,Christian FittipaldiFIT,Minardi Lamborghini,1:24.319,+3.929s
21,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:24.490,+4.100s
22,25,Thierry BoutsenBOU,Ligier Renault,1:24.548,+4.158s
23,17,Paul BelmondoBEL,March Ilmor,1:24.808,+4.418s
24,26,Erik ComasCOM,Ligier Renault,1:25.433,+5.043s
25,7,Eric van de PoeleVAN,Brabham Judd,1:25.647,+5.257s
26,15,Gabriele TarquiniTAR,Fondmetal Ford,1:25.663,+5.273s
27,34,Roberto MorenoMOR,Moda Judd,1:25.993,+5.603s
28,11,Mika HakkinenHAK,Lotus Ford,1:26.126,+5.736s
29,8,Damon HillHIL,Brabham Judd,1:26.363,+5.973s
30,14,Andrea ChiesaCHI,Fondmetal Ford,1:28.264,+7.874s
