Pos,No,Driver,Car,Time
1,15,Gabriele TarquiniTAR,Fondmetal Ford,1:45.518
1,5,Nigel MansellMAN,Williams Renault,1:37.960
2,6,Riccardo PatresePAT,Williams Renault,1:38.310
2,29,Bertrand GachotGAC,Venturi Lamborghini,1:45.766
3,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:46.599
3,1,Ayrton SennaSEN,McLaren Honda,1:39.106
4,2,Gerhard BergerBER,McLaren Honda,1:39.716
4,14,Andrea ChiesaCHI,Fondmetal Ford,1:48.502
5,34,Roberto MorenoMOR,Moda Judd,1:48.878
5,27,Jean AlesiALE,Ferrari,1:40.959
6,19,Michael SchumacherMSC,Benetton Ford,1:41.132
7,26,Erik ComasCOM,Ligier Renault,1:41.942
8,25,Thierry BoutsenBOU,Ligier Renault,1:42.112
9,20,Martin BrundleBRU,Benetton Ford,1:42.136
10,16,Karl WendlingerWEN,March Ilmor,1:42.357
11,12,Johnny HerbertHER,Lotus Ford,1:42.645
12,28,Ivan CapelliCAP,Ferrari,1:42.748
13,11,Mika HakkinenHAK,Lotus Ford,1:42.749
14,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:42.797
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:42.838
17,9,Michele AlboretoALB,Footwork Mugen Honda,1:43.171
18,22,Pierluigi MartiniMAR,Dallara Ferrari,1:43.556
20,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:43.790
21,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:43.931
22,17,Paul BelmondoBEL,March Ilmor,1:44.130
23,33,Mauricio GugelminGUG,Jordan Yamaha,1:44.521
24,23,Alessandro ZanardiZAN,Minardi Lamborghini,1:44.593
26,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:44.763
27,32,Stefano ModenaMOD,Jordan Yamaha,1:45.088
28,7,Eric van de PoeleVAN,Brabham Judd,1:45.098
30,8,Damon HillHIL,Brabham Judd,1:45.871
