Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,Williams Renault,41,1:51.095
2,0,Damon HillHIL,Williams Renault,40,1:51.212
3,5,Michael SchumacherMSC,Benetton Ford,38,1:51.242
4,26,Mark BlundellBLU,Ligier Renault,34,1:54.059
5,8,Ayrton SennaSEN,McLaren Ford,34,1:54.185
6,7,Michael AndrettiAND,McLaren Ford,33,1:54.614
7,28,Gerhard BergerBER,Ferrari,38,1:55.240
8,12,Johnny HerbertHER,Lotus Ford,37,1:55.334
9,30,Jyrki JarvilehtoJAR,Sauber,33,1:55.475
10,25,Martin BrundleBRU,Ligier Renault,40,1:55.478
11,6,Riccardo PatresePAT,Benetton Ford,34,1:55.681
12,29,Karl WendlingerWEN,Sauber,27,1:56.632
13,20,Erik ComasCOM,Larrousse Lamborghini,34,1:57.134
14,19,Philippe AlliotALL,Larrousse Lamborghini,34,1:57.390
15,9,Derek WarwickWAR,Footwork Mugen Honda,19,1:58.396
16,10,Aguri SuzukiSUZ,Footwork Mugen Honda,13,1:58.780
17,4,Andrea de CesarisDEC,Tyrrell Yamaha,24,1:58.866
18,22,Luca BadoerBAD,Lola Ferrari,35,1:59.228
19,27,Jean AlesiALE,Ferrari,3,1:59.283
20,14,Rubens BarrichelloBAR,Jordan Hart,7,1:59.554
21,24,Pierluigi MartiniMAR,Minardi Ford,10,2:00.006
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,36,2:00.111
23,23,Christian FittipaldiFIT,Minardi Ford,14,2:00.292
24,21,Michele AlboretoALB,Lola Ferrari,31,2:00.927
