Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,45,1:23.575
2,2,Alain ProstPRO,Williams Renault,39,1:24.407
3,27,Jean AlesiALE,Ferrari,47,1:25.140
4,5,Michael SchumacherMSC,Benetton Ford,21,1:25.969
5,7,Michael AndrettiAND,McLaren Ford,46,1:26.380
6,6,Riccardo PatresePAT,Benetton Ford,31,1:27.309
7,29,Karl WendlingerWEN,Sauber,39,1:27.458
8,19,Philippe AlliotALL,Larrousse Lamborghini,43,1:27.534
9,8,Ayrton SennaSEN,McLaren Ford,5,1:27.939
10,23,Christian FittipaldiFIT,Minardi Ford,46,1:28.062
11,28,Gerhard BergerBER,Ferrari,9,1:28.139
12,20,Erik ComasCOM,Larrousse Lamborghini,39,1:28.192
13,12,Johnny HerbertHER,Lotus Ford,8,1:28.512
14,25,Martin BrundleBRU,Ligier Renault,7,1:28.559
15,4,Andrea de CesarisDEC,Tyrrell Yamaha,34,1:28.620
16,26,Mark BlundellBLU,Ligier Renault,12,1:28.889
17,24,Pierluigi MartiniMAR,Minardi Ford,43,1:28.907
18,11,Pedro LamyLAM,Lotus Ford,32,1:29.209
19,22,Luca BadoerBAD,Lola Ferrari,34,1:29.426
20,3,Ukyo KatayamaKAT,Tyrrell Yamaha,46,1:29.502
21,21,Michele AlboretoALB,Lola Ferrari,18,1:30.168
