Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,61,1:20.989
2,8,Ayrton SennaSEN,McLaren Ford,61,1:21.717
3,0,Damon HillHIL,Williams Renault,40,1:22.840
4,2,Alain ProstPRO,Williams Renault,38,1:22.923
5,7,Michael AndrettiAND,McLaren Ford,59,1:23.791
6,14,Rubens BarrichelloBAR,Jordan Hart,54,1:24.085
7,6,Riccardo PatresePAT,Benetton Ford,33,1:24.785
8,29,Karl WendlingerWEN,Sauber,36,1:24.933
9,28,Gerhard BergerBER,Ferrari,51,1:25.065
10,11,Alessandro ZanardiZAN,Lotus Ford,59,1:25.246
11,26,Mark BlundellBLU,Ligier Renault,58,1:25.543
12,27,Jean AlesiALE,Ferrari,39,1:25.729
13,9,Derek WarwickWAR,Footwork Mugen Honda,59,1:25.795
14,23,Christian FittipaldiFIT,Minardi Ford,55,1:25.816
15,30,Jyrki JarvilehtoJAR,Sauber,47,1:25.824
16,15,Thierry BoutsenBOU,Jordan Hart,48,1:25.824
17,20,Erik ComasCOM,Larrousse Lamborghini,49,1:26.381
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,58,1:27.006
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,42,1:27.268
20,19,Philippe AlliotALL,Larrousse Lamborghini,23,1:27.453
21,24,Fabrizio BarbazzaBAR,Minardi Ford,33,1:27.899
22,22,Luca BadoerBAD,Lola Ferrari,41,1:28.633
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,11,1:29.569
24,25,Martin BrundleBRU,Ligier Renault,7,1:29.805
25,12,Johnny HerbertHER,Lotus Ford,2,1:38.480
