Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:19.182,
2,0,Damon HillHIL,Williams Renault,1:19.445,+0.263s
3,8,Ayrton SennaSEN,McLaren Ford,1:20.540,+1.358s
4,7,Michael AndrettiAND,McLaren Ford,1:21.632,+2.450s
5,6,Riccardo PatresePAT,Benetton Ford,1:22.645,+3.463s
6,5,Michael SchumacherMSC,Benetton Ford,1:22.759,+3.577s
7,27,Jean AlesiALE,Ferrari,1:24.462,+5.280s
8,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:24.556,+5.374s
9,26,Mark BlundellBLU,Ligier Renault,1:24.562,+5.380s
10,23,Christian FittipaldiFIT,Minardi Ford,1:24.720,+5.538s
11,11,Alessandro ZanardiZAN,Lotus Ford,1:24.733,+5.551s
12,30,Jyrki JarvilehtoJAR,Sauber,1:24.737,+5.555s
13,29,Karl WendlingerWEN,Sauber,1:24.987,+5.805s
14,20,Erik ComasCOM,Larrousse Lamborghini,1:25.191,+6.009s
15,9,Derek WarwickWAR,Footwork Mugen Honda,1:25.414,+6.232s
16,14,Rubens BarrichelloBAR,Jordan Hart,1:25.439,+6.257s
17,12,Johnny HerbertHER,Lotus Ford,1:25.450,+6.268s
18,15,Thierry BoutsenBOU,Jordan Hart,1:25.537,+6.355s
19,25,Martin BrundleBRU,Ligier Renault,1:25.646,+6.464s
20,22,Luca BadoerBAD,Lola Ferrari,1:26.079,+6.897s
21,19,Philippe AlliotALL,Larrousse Lamborghini,1:26.299,+7.117s
22,24,Fabrizio BarbazzaBAR,Minardi Ford,1:26.587,+7.405s
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:26.939,+7.757s
24,21,Michele AlboretoALB,Lola Ferrari,1:27.175,+7.993s
25,28,Gerhard BergerBER,Ferrari,1:27.701,+8.519s
26,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:53.763,+34.581s
