Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:37.984,
2,0,Damon HillHIL,Williams Renault,1:38.497,+0.513s
3,8,Ayrton SennaSEN,McLaren Ford,1:38.788,+0.804s
4,28,Gerhard BergerBER,Ferrari,1:38.917,+0.933s
5,15,Eddie IrvineIRV,Jordan Hart,1:39.561,+1.577s
6,5,Michael SchumacherMSC,Benetton Ford,1:39.674,+1.690s
7,7,Mika HakkinenHAK,McLaren Ford,1:40.069,+2.085s
8,9,Derek WarwickWAR,Footwork Mugen Honda,1:40.163,+2.179s
9,14,Rubens BarrichelloBAR,Jordan Hart,1:40.203,+2.219s
10,27,Jean AlesiALE,Ferrari,1:40.253,+2.269s
11,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:40.282,+2.298s
12,29,Karl WendlingerWEN,Sauber,1:40.382,+2.398s
13,30,Jyrki JarvilehtoJAR,Sauber,1:40.644,+2.660s
14,26,Mark BlundellBLU,Ligier Renault,1:40.982,+2.998s
15,6,Riccardo PatresePAT,Benetton Ford,1:41.721,+3.737s
16,12,Johnny HerbertHER,Lotus Ford,1:42.011,+4.027s
17,11,Pedro LamyLAM,Lotus Ford,1:42.022,+4.038s
18,24,Pierluigi MartiniMAR,Minardi Ford,1:42.555,+4.571s
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:42.778,+4.794s
20,19,Toshio  SuzukiSUZ,Larrousse Lamborghini,1:43.264,+5.280s
21,20,Erik ComasCOM,Larrousse Lamborghini,1:43.818,+5.834s
22,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:43.881,+5.897s
23,23,Jean-Marc GounonGOU,Minardi Ford,1:45.652,+7.668s
24,25,Martin BrundleBRU,Ligier Renault,1:49.258,+11.274s
