Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:20.434,
2,2,Alain ProstPRO,Williams Renault,1:20.436,+0.002s
3,5,Michael SchumacherMSC,Benetton Ford,1:21.513,+1.079s
4,6,Riccardo PatresePAT,Benetton Ford,1:22.428,+1.994s
5,12,Johnny HerbertHER,Lotus Ford,1:22.734,+2.300s
6,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:23.372,+2.938s
7,26,Mark BlundellBLU,Ligier Renault,1:23.413,+2.979s
8,7,Michael AndrettiAND,McLaren Ford,1:23.426,+2.992s
9,11,Alessandro ZanardiZAN,Lotus Ford,1:23.453,+3.019s
10,8,Ayrton SennaSEN,McLaren Ford,1:23.573,+3.139s
11,25,Martin BrundleBRU,Ligier Renault,1:23.588,+3.154s
12,14,Rubens BarrichelloBAR,Jordan Hart,1:23.617,+3.183s
13,30,Jyrki JarvilehtoJAR,Sauber,1:23.810,+3.376s
14,27,Jean AlesiALE,Ferrari,1:23.845,+3.411s
15,9,Derek WarwickWAR,Footwork Mugen Honda,1:23.941,+3.507s
16,29,Karl WendlingerWEN,Sauber,1:24.321,+3.887s
17,28,Gerhard BergerBER,Ferrari,1:24.336,+3.902s
18,20,Erik ComasCOM,Larrousse Lamborghini,1:24.393,+3.959s
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:25.121,+4.687s
20,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:25.379,+4.945s
21,15,Thierry BoutsenBOU,Jordan Hart,1:25.491,+5.057s
22,19,Philippe AlliotALL,Larrousse Lamborghini,1:25.592,+5.158s
23,24,Pierluigi MartiniMAR,Minardi Ford,1:25.950,+5.516s
24,23,Christian FittipaldiFIT,Minardi Ford,1:26.151,+5.717s
25,22,Luca BadoerBAD,Lola Ferrari,1:26.278,+5.844s
26,21,Michele AlboretoALB,Lola Ferrari,1:27.193,+6.759s
