Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:14.631
2,0,Damon HillHIL,Williams Renault,1:14.835
3,5,Michael SchumacherMSC,Benetton Ford,1:15.228
4,8,Ayrton SennaSEN,McLaren Ford,1:16.451
5,6,Riccardo PatresePAT,Benetton Ford,1:16.561
6,28,Gerhard BergerBER,Ferrari,1:16.939
7,24,Pierluigi MartiniMAR,Minardi Ford,1:17.366
8,27,Jean AlesiALE,Ferrari,1:17.480
9,9,Derek WarwickWAR,Footwork Mugen Honda,1:17.682
10,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:17.693
11,7,Michael AndrettiAND,McLaren Ford,1:18.107
12,26,Mark BlundellBLU,Ligier Renault,1:18.388
13,25,Martin BrundleBRU,Ligier Renault,1:18.392
14,23,Christian FittipaldiFIT,Minardi Ford,1:18.446
15,30,Jyrki JarvilehtoJAR,Sauber,1:18.638
16,14,Rubens BarrichelloBAR,Jordan Hart,1:18.721
17,29,Karl WendlingerWEN,Sauber,1:18.840
18,20,Erik ComasCOM,Larrousse Lamborghini,1:19.305
19,19,Philippe AlliotALL,Larrousse Lamborghini,1:19.320
20,12,Johnny HerbertHER,Lotus Ford,1:19.444
21,11,Alessandro ZanardiZAN,Lotus Ford,1:19.485
22,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:19.560
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:20.270
24,15,Thierry BoutsenBOU,Jordan Hart,1:20.482
25,21,Michele AlboretoALB,Lola Ferrari,1:21.502
26,22,Luca BadoerBAD,Lola Ferrari,1:22.655
